epoch,accuracy,loss,precision,recall
0,0.9997239708900452,0.004907801281660795,0.0,0.0
1,0.9997252225875854,0.0025695916265249252,0.0,0.0
2,0.9997252225875854,0.002569974400103092,0.0,0.0
3,0.9997252225875854,0.0025762361474335194,0.0,0.0
4,0.9997252225875854,0.0025732587091624737,0.0,0.0
5,0.9997252225875854,0.0025495095178484917,0.0,0.0
6,0.9997252225875854,0.002557754050940275,0.0,0.0
7,0.9997252225875854,0.002558705396950245,0.0,0.0
8,0.9997252225875854,0.002560436027124524,0.0,0.0
9,0.9997252225875854,0.0025603880640119314,0.0,0.0
