epoch,accuracy,loss,precision,recall
0,0.9690488576889038,0.08348730206489563,0.6325045824050903,0.41121622920036316
1,0.9728700518608093,0.0722116008400917,0.6819596886634827,0.5144286155700684
2,0.9747462868690491,0.06677339226007462,0.712851881980896,0.5437963604927063
3,0.9762650728225708,0.06263651698827744,0.7270881533622742,0.5850405097007751
4,0.9776274561882019,0.05901959165930748,0.7410780191421509,0.6176069974899292
5,0.9783232808113098,0.05786618962883949,0.7485015392303467,0.6331926584243774
6,0.9791361093521118,0.05536849424242973,0.7556149959564209,0.6537126302719116
7,0.9793586730957031,0.05485951155424118,0.7557575106620789,0.6622201204299927
8,0.9795342087745667,0.05369612202048302,0.755587100982666,0.6696045994758606
9,0.980221152305603,0.05164721608161926,0.7633770704269409,0.6830803751945496
