epoch,accuracy,loss,precision,recall
0,0.99956876039505,0.00286519480869174,0.7355212569236755,0.6626086831092834
1,0.999772310256958,0.0011388929560780525,0.8731343150138855,0.8139130473136902
2,0.9998461008071899,0.0009474438847973943,0.9125000238418579,0.8886956572532654
3,0.9998893141746521,0.0005793199525214732,0.9460431933403015,0.9147825837135315
4,0.9998956918716431,0.00036447870661504567,0.943362832069397,0.9269565343856812
5,0.999902069568634,0.0003860641154460609,0.948853611946106,0.9356521964073181
6,0.9999071359634399,0.0004727803752757609,0.9536541700363159,0.9304347634315491
7,0.9999211430549622,0.0003665589028969407,0.9642218351364136,0.9373912811279297
8,0.9999223947525024,0.00037899386370554566,0.9643493890762329,0.9408695697784424
9,0.9999211430549622,0.0004315619298722595,0.9661921858787537,0.9443477988243103
