epoch,accuracy,loss,precision,recall
0,0.9975869655609131,0.010045120492577553,0.9010822772979736,0.7440571784973145
1,0.9990790486335754,0.003103996627032757,0.9508862495422363,0.9204646944999695
2,0.999377965927124,0.0019236084772273898,0.96477210521698,0.9495978355407715
3,0.9995115399360657,0.0013776016421616077,0.9743822813034058,0.9585344195365906
4,0.9995535016059875,0.0014585807221010327,0.9759188890457153,0.9633601307868958
5,0.9996412992477417,0.0011652330867946148,0.9813810586929321,0.9703306555747986
6,0.9997341632843018,0.0009923168690875173,0.9854447245597839,0.9801608324050903
7,0.9997468590736389,0.0012029404751956463,0.9863309264183044,0.9801608324050903
8,0.9997901320457458,0.0009188007679767907,0.9886772036552429,0.9831992983818054
9,0.999796450138092,0.0009586217347532511,0.9879971146583557,0.9857015013694763
