epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.969875156879425,0.13553427159786224,0.0,0.0,0.8988274931907654,0.39692550897598267,0.0,0.0
1,0.969875156879425,0.13539794087409973,0.0,0.0,0.8988274931907654,0.36439916491508484,0.0,0.0
2,0.969875156879425,0.13544027507305145,0.0,0.0,0.8988274931907654,0.3794378340244293,0.0,0.0
3,0.969875156879425,0.13550965487957,0.0,0.0,0.8988274931907654,0.3906935751438141,0.0,0.0
4,0.969875156879425,0.13543327152729034,0.0,0.0,0.8988274931907654,0.39062559604644775,0.0,0.0
5,0.969875156879425,0.13545525074005127,0.0,0.0,0.8988274931907654,0.3923606276512146,0.0,0.0
6,0.969875156879425,0.1353982388973236,0.0,0.0,0.8988274931907654,0.40599197149276733,0.0,0.0
7,0.969875156879425,0.13532450795173645,0.0,0.0,0.8988274931907654,0.39520230889320374,0.0,0.0
8,0.969875156879425,0.1352924257516861,0.0,0.0,0.8988274931907654,0.37817487120628357,0.0,0.0
9,0.969875156879425,0.13551349937915802,0.0,0.0,0.8988274931907654,0.3711475729942322,0.0,0.0
