epoch,averaged_f1_score,f1_score_coffee machine,f1_score_computer,f1_score_kettle,f1_score_microwave,loss,precision_coffee machine,precision_computer,precision_kettle,precision_microwave,recall_coffee machine,recall_computer,recall_kettle,recall_microwave,val_averaged_f1_score,val_f1_score_coffee machine,val_f1_score_computer,val_f1_score_kettle,val_f1_score_microwave,val_loss,val_precision_coffee machine,val_precision_computer,val_precision_kettle,val_precision_microwave,val_recall_coffee machine,val_recall_computer,val_recall_kettle,val_recall_microwave
0,0.35761791467666626,0.5641538500785828,0.07211881130933762,0.48570799827575684,0.30849096179008484,0.029814142733812332,0.9100369811058044,0.6029391288757324,0.7546519637107849,0.9249289035797119,0.8439376354217529,0.410576194524765,0.7630661725997925,0.5799774527549744,0.42817726731300354,0.8011980652809143,0.07180117070674896,0.7185828685760498,0.12112705409526825,0.06580769270658493,0.8296883702278137,0.14101901650428772,0.7564275860786438,0.9324686527252197,0.7402086853981018,0.061607155948877335,0.9649021625518799,0.48319754004478455
1,0.4150140881538391,0.6507628560066223,0.07145237177610397,0.5741892457008362,0.363651841878891,0.026536516845226288,0.9500623941421509,0.6244588494300842,0.8839972019195557,0.9429778456687927,0.9248641729354858,0.465444952249527,0.8815330862998962,0.6172286868095398,0.4722135066986084,0.8928784728050232,0.0688759833574295,0.716011106967926,0.21108847856521606,0.07131869345903397,0.9344515800476074,0.20089156925678253,0.9253455996513367,0.6893384456634521,0.8639937043190002,0.07425814867019653,0.577675461769104,0.5156384706497192
2,0.4355319142341614,0.6717661619186401,0.07206764817237854,0.685434877872467,0.3128589689731598,0.026011528447270393,0.9515489935874939,0.6299950480461121,0.8912891745567322,0.9431242942810059,0.9266514182090759,0.4677186608314514,0.8912891745567322,0.6237404346466064,0.5350834131240845,0.9155925512313843,0.06953181326389313,0.9252362251281738,0.22997300326824188,0.06680690497159958,0.993994951248169,0.2578129768371582,0.9543879628181458,0.9900103807449341,0.6506575345993042,0.10896865278482437,0.9510931968688965,0.5023466944694519
3,0.44211238622665405,0.6945849061012268,0.07261040806770325,0.7244898080825806,0.2767644226551056,0.02552197128534317,0.9569979310035706,0.6401383280754089,0.9051966071128845,0.9440636038780212,0.9307263493537903,0.47878772020339966,0.898257851600647,0.6262505054473877,0.43642863631248474,0.8361976742744446,0.07974091172218323,0.7298181653022766,0.09995783865451813,0.07030878216028214,0.9558349847793579,0.27729710936546326,0.9971590638160706,0.9395236372947693,0.8909376859664917,0.19037620723247528,0.4039125442504883,0.5109826326370239
4,0.4227033853530884,0.6946176290512085,0.07358092814683914,0.6900129914283752,0.23260188102722168,0.02517332322895527,0.9557638764381409,0.6458006501197815,0.903496503829956,0.9429614543914795,0.9329425096511841,0.48754221200942993,0.900348424911499,0.6296700239181519,0.46620163321495056,0.8564860820770264,0.26315903663635254,0.7178899049758911,0.027271494269371033,0.09150093048810959,0.9665709733963013,0.13116657733917236,0.9980295300483704,0.12976853549480438,0.8183247447013855,0.030032822862267494,0.5828538537025452,0.5450005531311035
5,0.41094961762428284,0.7191347479820251,0.07339546829462051,0.6099652647972107,0.24130292236804962,0.025003083050251007,0.9569602012634277,0.6478589773178101,0.8966712951660156,0.9385181665420532,0.9362310767173767,0.4908778965473175,0.9010453224182129,0.63083416223526,0.5546485185623169,0.6632607579231262,0.0733306035399437,0.8363310098648071,0.6456716060638428,0.07089115679264069,0.932829737663269,0.23724821209907532,0.8899654150009155,0.967974066734314,0.9002286791801453,0.11910805106163025,0.7399309277534485,0.505012571811676
6,0.4215620458126068,0.686741054058075,0.07357374578714371,0.6903513073921204,0.2355821281671524,0.02467888593673706,0.9581351280212402,0.6534745693206787,0.8994413614273071,0.9416914582252502,0.9358736276626587,0.4963783919811249,0.8975609540939331,0.633926272392273,0.4278194308280945,0.9166369438171387,0.07462099194526672,0.6375752687454224,0.08244460076093674,0.07640992105007172,0.9766213893890381,0.5603032112121582,0.8911949396133423,0.953502893447876,0.8329759836196899,0.021607685834169388,0.8153049349784851,0.5166522860527039
7,0.4318026006221771,0.7315226197242737,0.07401279360055923,0.7068873643875122,0.21478761732578278,0.024378521367907524,0.9579077959060669,0.6568785309791565,0.9158485531806946,0.9387471079826355,0.9387332201004028,0.5055821537971497,0.910104513168335,0.6383644342422485,0.4706575572490692,0.8951833844184875,0.06858765333890915,0.7660885453224182,0.15277068316936493,0.06573792546987534,0.9886373281478882,0.17834727466106415,0.5867620706558228,0.9583687782287598,0.8083904981613159,0.09969303011894226,0.9436133503913879,0.5073780417442322
8,0.3595896065235138,0.6842240691184998,0.07391344010829926,0.4532789885997772,0.22694191336631775,0.024071503430604935,0.9580292105674744,0.6620321869850159,0.9113747477531433,0.9385074973106384,0.9383042454719543,0.5134516954421997,0.910104513168335,0.6396012902259827,0.5010654330253601,0.9247040152549744,0.15564291179180145,0.8973731994628906,0.02654147893190384,0.07122980803251266,0.9584047794342041,0.1982068568468094,0.985284686088562,0.21409893035888672,0.9188821911811829,0.09048384428024292,0.8860759735107422,0.5164645314216614
9,0.3400295674800873,0.7107198238372803,0.08693055808544159,0.47486230731010437,0.08760564029216766,0.022196676582098007,0.9578028321266174,0.683828592300415,0.9217877388000488,0.9329047799110413,0.9411638379096985,0.5824664831161499,0.9198606014251709,0.6388373374938965,0.5026371479034424,0.7949661612510681,0.2376566231250763,0.9526559114456177,0.025269892066717148,0.05325213819742203,0.9430689215660095,0.5389613509178162,0.9867629408836365,0.8657485842704773,0.9092338681221008,0.1410878300666809,0.9436133503913879,0.516952633857727
10,0.25180482864379883,0.476886510848999,0.242338165640831,0.2559415102005005,0.03205316513776779,0.017523139715194702,0.9569916129112244,0.7333166003227234,0.9125262498855591,0.9178003668785095,0.9369459748268127,0.7564399242401123,0.908710777759552,0.6429844498634338,0.40436771512031555,0.7957759499549866,0.09592198580503464,0.6920542120933533,0.03371870890259743,0.06375562399625778,0.9543056488037109,0.271379292011261,0.9934318661689758,0.9526541233062744,0.9179531335830688,0.46940240263938904,0.34810125827789307,0.4177899658679962
11,0.2155163288116455,0.3855275511741638,0.2684844732284546,0.1764473021030426,0.031605977565050125,0.016472911462187767,0.9598801732063293,0.741305947303772,0.9298245906829834,0.913275420665741,0.9390191435813904,0.7830301523208618,0.9233449697494507,0.6539342999458313,0.5256357789039612,0.8766326308250427,0.40690213441848755,0.7948464155197144,0.024162080138921738,0.06416373699903488,0.9605312347412109,0.5312535762786865,0.9959555268287659,0.8796308636665344,0.9200971722602844,0.061328087002038956,0.5667433738708496,0.5010325312614441
12,0.2393491268157959,0.399338960647583,0.29406240582466125,0.2327481210231781,0.031246976926922798,0.01606806181371212,0.9612776041030884,0.7461034655570984,0.915855348110199,0.9079950451850891,0.9423791766166687,0.795787513256073,0.9177700281143188,0.6631016135215759,0.49532419443130493,0.8537957072257996,0.17540894448757172,0.9224318265914917,0.029660308733582497,0.059636060148477554,0.9750449657440186,0.429502934217453,0.9931412935256958,0.8455148339271545,0.9298884868621826,0.4044065773487091,0.833141565322876,0.5121090412139893
13,0.2425554394721985,0.3322718143463135,0.32663723826408386,0.28009188175201416,0.03122084215283394,0.015667038038372993,0.963489294052124,0.7484557628631592,0.9251748323440552,0.9091088175773621,0.9451673030853271,0.8034119606018066,0.9219512343406677,0.6716868281364441,0.4923717975616455,0.8141292929649353,0.2870430052280426,0.8371244072914124,0.0311905350536108,0.058848943561315536,0.924895167350769,0.5174463987350464,0.9435279369354248,0.9169378876686096,0.9144511222839355,0.35275277495384216,0.8555811047554016,0.5077535510063171
14,0.22254717350006104,0.2445986419916153,0.32950618863105774,0.2840585708618164,0.0320252999663353,0.01518737431615591,0.9649519324302673,0.7520937323570251,0.936274528503418,0.9049891829490662,0.9467400908470154,0.8094161748886108,0.9317073225975037,0.6829640865325928,0.23370493948459625,0.06619613617658615,0.25482606887817383,0.5827706456184387,0.031026912853121758,0.06126055121421814,0.9505734443664551,0.5312604904174805,0.9304084777832031,0.8796058893203735,0.9181675314903259,0.3778288662433624,0.7077100276947021,0.48939284682273865
15,0.21988607943058014,0.42524096369743347,0.2620808482170105,0.15909625589847565,0.03312622010707855,0.015410480089485645,0.9631218910217285,0.751836359500885,0.9353023767471313,0.9093320369720459,0.9465970993041992,0.8096612691879272,0.9268292784690857,0.685910701751709,0.4586804509162903,0.8476013541221619,0.13961201906204224,0.8144810795783997,0.03302743285894394,0.05206901580095291,0.9791140556335449,0.39124569296836853,0.9938052892684937,0.8973742127418518,0.9146655201911926,0.48177433013916016,0.6461449861526489,0.5042991638183594
16,0.2394743263721466,0.3837403655052185,0.2816927433013916,0.25996702909469604,0.03249717131257057,0.015244550071656704,0.9631028175354004,0.7547509670257568,0.9303797483444214,0.9138656258583069,0.9479553699493408,0.8159650564193726,0.9219512343406677,0.6874022483825684,0.5070000886917114,0.9263463616371155,0.2795562446117401,0.7968892455101013,0.025208426639437675,0.06446389108896255,0.96464604139328,0.5050309300422668,0.9613069891929626,0.4312320053577423,0.8814322352409363,0.31816187500953674,0.6432681083679199,0.4946870505809784
17,0.23962301015853882,0.3831523060798645,0.2917802035808563,0.2509208023548126,0.032638661563396454,0.014787150546908379,0.9668287634849548,0.7568506002426147,0.9415081143379211,0.9106011986732483,0.952244758605957,0.8220373392105103,0.9310104250907898,0.6958783268928528,0.484849750995636,0.87989741563797,0.32868316769599915,0.7025933861732483,0.02822507545351982,0.0690046176314354,0.9599893689155579,0.5346105098724365,0.7538008689880371,0.35674595832824707,0.7750857472419739,0.3404340147972107,0.8843498229980469,0.49660196900367737
18,0.2481652796268463,0.3839421272277832,0.27722516655921936,0.2986331582069397,0.03286072611808777,0.01453421637415886,0.9665603041648865,0.7634977698326111,0.9432772994041443,0.9096859097480774,0.952602207660675,0.826543927192688,0.9386759400367737,0.7027902007102966,0.4988819658756256,0.9046851396560669,0.265305757522583,0.7996212840080261,0.025915708392858505,0.055616822093725204,0.9603863954544067,0.4341166019439697,0.9290894269943237,0.6008810997009277,0.9165952205657959,0.44779470562934875,0.6634061932563782,0.5326099395751953
19,0.3121582865715027,0.452299028635025,0.25061362981796265,0.5122361183166504,0.033484429121017456,0.014307571575045586,0.9661594033241272,0.7658199071884155,0.9466292262077332,0.911237895488739,0.9531741738319397,0.8291308283805847,0.9393728375434875,0.7088289856910706,0.48731565475463867,0.848727822303772,0.13580846786499023,0.9342881441116333,0.030438149347901344,0.06501837074756622,0.9542165398597717,0.3652969002723694,0.9801204800605774,0.878010630607605,0.923527717590332,0.631181001663208,0.9361335039138794,0.42158225178718567
20,0.3126007318496704,0.453557550907135,0.25943583250045776,0.5039514899253845,0.033458106219768524,0.014117761515080929,0.9672558903694153,0.7669845223426819,0.9440950155258179,0.9106884598731995,0.9545324444770813,0.828940212726593,0.9414634108543396,0.7107206583023071,0.50990891456604,0.9239861965179443,0.349022775888443,0.7420623302459717,0.024564264342188835,0.09030625969171524,0.9859676361083984,0.45520341396331787,0.9501886963844299,0.09455766528844833,0.7231274843215942,0.5716734528541565,0.7243958711624146,0.5508579611778259
21,0.2628018856048584,0.400476336479187,0.27626413106918335,0.34159159660339355,0.032875411212444305,0.013845537789165974,0.9669804573059082,0.7703559398651123,0.9513742327690125,0.9097440838813782,0.9546754360198975,0.835352897644043,0.9407665729522705,0.7139219045639038,0.5071696639060974,0.8919450640678406,0.33558568358421326,0.7704789042472839,0.03066900186240673,0.06705285608768463,0.9451995491981506,0.5176728963851929,0.952088475227356,0.3727034032344818,0.9343910813331604,0.3133513033390045,0.8918296694755554,0.5278413891792297
