name,start_time,end_time
"kettle",2023-02-17 11:00:10,2023-02-17 11:01:02
"microwave",2023-02-17 20:41:22,2023-02-17 21:37:50
"coffee machine",2023-02-17 21:56:09,2023-02-17 22:01:02
"computer",2023-02-17 22:10:00,2023-02-17 22:46:09
