name,start_time,end_time
"kettle",2023-01-04 09:45:59,2023-01-04 09:46:24
"computer",2023-01-04 11:19:50,2023-01-04 11:21:14
"coffee machine",2023-01-04 15:03:02,2023-01-04 15:08:01
"microwave",2023-01-04 21:01:01,2023-01-04 21:57:29
"coffee machine",2023-01-04 21:58:51,2023-01-04 22:06:09
"computer",2023-01-04 22:10:00,2023-01-04 22:21:27
