epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.9688695073127747,0.0819595456123352,0.6080731153488159,0.47110870480537415,0.9540008306503296,0.1911420375108719,0.17929016053676605,0.04882423207163811
1,0.972867488861084,0.07002577185630798,0.6816155910491943,0.5151432752609253,0.9521786570549011,0.1916438490152359,0.305463045835495,0.17364156246185303
2,0.974826455116272,0.0662824809551239,0.7154325842857361,0.5428435206413269,0.9547616839408875,0.18397490680217743,0.2460334748029709,0.07519596070051193
3,0.9756977558135986,0.06318482011556625,0.7272205352783203,0.5603008270263672,0.952926516532898,0.21076233685016632,0.22967569530010223,0.0858575776219368
4,0.976469874382019,0.060945961624383926,0.736171305179596,0.5778942108154297,0.954625129699707,0.20992015302181244,0.22837330400943756,0.066726453602314
5,0.9771644473075867,0.05887904018163681,0.7391940355300903,0.6017491221427917,0.9545198082923889,0.19996194541454315,0.21998156607151031,0.06340507417917252
6,0.9776910543441772,0.05679881572723389,0.7459138631820679,0.6118900179862976,0.9519172310829163,0.21033988893032074,0.23654097318649292,0.10229839384555817
7,0.9784148335456848,0.05447552725672722,0.749768853187561,0.6347240209579468,0.9533960819244385,0.2601294219493866,0.2191915214061737,0.07419954985380173
8,0.9789020419120789,0.05271385237574577,0.74942547082901,0.6547335386276245,0.9507492780685425,0.21131233870983124,0.1843111664056778,0.07522917538881302
9,0.9795278906822205,0.05033857375383377,0.7483475804328918,0.6819574236869812,0.9530332088470459,0.20481806993484497,0.21047554910182953,0.07247243076562881
10,0.9801231622695923,0.04853608459234238,0.753516435623169,0.6963860392570496,0.9478840231895447,0.24743445217609406,0.1859394758939743,0.0979473888874054
11,0.9807096123695374,0.046599481254816055,0.7553649544715881,0.716293454170227,0.9403872489929199,0.25021031498908997,0.14854052662849426,0.11036933958530426
12,0.9812095165252686,0.04520152881741524,0.7587012052536011,0.7299394011497498,0.9471348524093628,0.2295425534248352,0.18933899700641632,0.10664939880371094
13,0.9817017912864685,0.043559830635786057,0.7614321112632751,0.7439937591552734,0.9379108548164368,0.21786624193191528,0.14683493971824646,0.12172844260931015
14,0.9822169542312622,0.04213867336511612,0.7666631937026978,0.7542707324028015,0.93170166015625,0.25481024384498596,0.11656168848276138,0.11309286206960678
