epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.9995967745780945,0.00210473476909101,0.8235294222831726,0.5843478441238403,0.9998621344566345,0.0005995066021569073,0.9147180318832397,0.9527220726013184
1,0.9998778700828552,0.0004579217347782105,0.9342806339263916,0.9147825837135315,0.9998504519462585,0.0007772698299959302,1.0,0.8352435827255249
2,0.9998893141746521,0.00039108304190449417,0.9415929317474365,0.9252173900604248,0.9998751282691956,0.0015712891472503543,0.938746452331543,0.9441260695457458
3,0.9999122023582458,0.0003472692333161831,0.9605734944343567,0.9321739077568054,0.9997606873512268,0.003918382804840803,0.9553264379501343,0.796561598777771
4,0.9999122023582458,0.0004084851243533194,0.9624999761581421,0.9373912811279297,0.9999115467071533,0.0020590510684996843,0.9938176274299622,0.9212034344673157
5,0.9999237060546875,0.0002475390792824328,0.962699830532074,0.9426087141036987,0.9999063611030579,0.0023804507218301296,1.0,0.8982807993888855
6,0.9999275207519531,0.0003164983063470572,0.9647266268730164,0.9513043761253357,0.9999232888221741,0.0024386190343648195,1.0,0.9154728055000305
7,0.999932587146759,0.0003018628340214491,0.9715808033943176,0.9513043761253357,0.9999193549156189,0.0020817203912883997,0.9865471124649048,0.9455587267875671
8,0.9999223947525024,0.0003110045799985528,0.969588577747345,0.9426087141036987,0.9999024271965027,0.004459372255951166,0.9774096608161926,0.9297994375228882
9,0.99993896484375,0.0003843773156404495,0.9838420152664185,0.9530434608459473,0.9999037384986877,0.003159821033477783,1.0,0.8939828276634216
10,0.9999478459358215,0.0002897944359574467,0.9822379946708679,0.9617391228675842,0.9999128580093384,0.002449050545692444,0.9848254919052124,0.9297994375228882
11,0.9999427795410156,0.0003648403799161315,0.9768683314323425,0.9547826051712036,0.9998634457588196,0.00405834149569273,0.9983333349227905,0.8581662178039551
12,0.9999351501464844,0.00036594472476281226,0.9767857193946838,0.9513043761253357,0.999921977519989,0.003829323686659336,1.0,0.9283667802810669
13,0.9999351501464844,0.0003196002508047968,0.9750000238418579,0.9495652318000793,0.9998634457588196,0.007016576826572418,1.0,0.8495702147483826
14,0.9999364018440247,0.0002478599199093878,0.9785330891609192,0.9513043761253357,0.9997814893722534,0.009458768181502819,0.9981446862220764,0.7707736492156982
15,0.9999300241470337,0.000322494626743719,0.9698046445846558,0.9495652318000793,0.9998816251754761,0.006081026513129473,1.0,0.8868194818496704
16,0.9999440312385559,0.00031821426819078624,0.9821428656578064,0.95652174949646,0.99980229139328,0.00587495369836688,0.9878261089324951,0.813753604888916
17,0.9999465942382812,0.0002630928938742727,0.9754816293716431,0.9686956405639648,0.9999076724052429,0.007430307101458311,0.9892473220825195,0.922636091709137
18,0.9999452829360962,0.000522750080563128,0.9804270267486572,0.9582608938217163,0.9998465180397034,0.009000405669212341,0.998305082321167,0.8438395261764526
19,0.9999313354492188,0.0005884955171495676,0.978300154209137,0.9408695697784424,0.9999128580093384,0.030201487243175507,0.9850075244903564,0.9412607550621033
20,0.9999313354492188,0.00038539175875484943,0.9733096361160278,0.9513043761253357,0.999908983707428,0.006534519139677286,1.0,0.9040114879608154
21,0.9999275207519531,0.0006360845873132348,0.9746835231781006,0.9373912811279297,0.9999141693115234,0.005430234130471945,0.9864864945411682,0.9412607550621033
22,0.9999173283576965,0.0006324892165139318,0.9640287756919861,0.9321739077568054,0.9997190833091736,0.004985530860722065,0.9959183931350708,0.6991404294967651
23,0.9999338388442993,0.00044255334069021046,0.9715302586555481,0.9495652318000793,0.9999102354049683,0.007092952262610197,0.9791666865348816,0.9426934123039246
24,0.9999223947525024,0.00047558086225762963,0.9678571224212646,0.9426087141036987,0.999631941318512,0.012123312801122665,1.0,0.5974212288856506
25,0.9999275207519531,0.00042556869448162615,0.9714794754981995,0.947826087474823,0.999921977519989,0.006954813841730356,1.0,0.9197707772254944
26,0.9999338388442993,0.0005169529467821121,0.9749552607536316,0.947826087474823,0.999920666217804,0.1487092822790146,0.9984662532806396,0.9326647520065308
27,0.9999364018440247,0.0005060582770965993,0.9733570218086243,0.9530434608459473,0.9999180436134338,0.01198465283960104,1.0,0.9197707772254944
28,0.9999211430549622,0.0005622786702588201,0.9644760489463806,0.9443477988243103,0.999908983707428,0.007299367338418961,0.9968553185462952,0.9083094596862793
29,0.9999173283576965,0.0007720800349488854,0.9660107493400574,0.939130425453186,0.9998816251754761,0.049203477799892426,0.9952152967453003,0.8939828276634216
30,0.9999147653579712,0.0008575980318710208,0.9642218351364136,0.9373912811279297,0.9999128580093384,0.009633839130401611,1.0,0.9083094596862793
31,0.999902069568634,0.0009870713111013174,0.9585585594177246,0.9252173900604248,0.9999037384986877,0.012079299427568913,0.9803625345230103,0.9297994375228882
32,0.9999083876609802,0.0010186068248003721,0.9638988971710205,0.9286956787109375,0.9999076724052429,0.009651421569287777,0.9720998406410217,0.9484240412712097
33,0.9998854994773865,0.0011658836156129837,0.9441441297531128,0.9113043546676636,0.9999193549156189,0.008120542392134666,0.9879518151283264,0.939828097820282
34,0.999902069568634,0.0008666515932418406,0.9486725926399231,0.9321739077568054,0.9998972415924072,0.010041720233857632,0.9674556255340576,0.9369627237319946
