epoch,loss,precision_coffee machine,precision_computer,precision_kettle,precision_lamp,precision_microwave,precision_printer,precision_radio,precision_television,recall_coffee machine,recall_computer,recall_kettle,recall_lamp,recall_microwave,recall_printer,recall_radio,recall_television,val_loss,val_precision_coffee machine,val_precision_computer,val_precision_kettle,val_precision_lamp,val_precision_microwave,val_precision_printer,val_precision_radio,val_precision_television,val_recall_coffee machine,val_recall_computer,val_recall_kettle,val_recall_lamp,val_recall_microwave,val_recall_printer,val_recall_radio,val_recall_television
0,0.0034859790466725826,0.9747633934020996,0.912166178226471,1.0,0.0,0.9815270900726318,0.0,0.0,0.0,0.9686520099639893,0.8449697494506836,0.9583333134651184,0.0,0.9443128108978271,0.0,0.0,0.0,0.1401055008172989,0.9170305728912354,0.4532504677772522,0.7719298005104065,0.0,0.6731266379356384,0.0,0.0,0.0,0.34201955795288086,0.28646260499954224,0.8627451062202454,0.0,0.6158392429351807,0.0,0.0,0.0
1,0.006269346922636032,0.9779179692268372,0.9061946868896484,0.9166666865348816,0.0,0.9702479243278503,0.0,0.0,0.0,0.9717868566513062,0.8444200158119202,0.9166666865348816,0.0,0.6954976320266724,0.0,0.0,0.0,0.19889046251773834,0.5411471128463745,0.39424049854278564,1.0,0.0,0.5746268630027771,0.0,0.0,0.0,0.3534201979637146,0.3832051157951355,0.8823529481887817,0.0,0.6371158361434937,0.0,0.0,0.0
2,0.004600659944117069,0.9717868566513062,0.9252941012382507,0.9791666865348816,0.0,0.9845678806304932,0.0,0.0,0.0,0.9717868566513062,0.8647608757019043,0.9791666865348816,0.0,0.7559241652488708,0.0,0.0,0.0,0.2589915096759796,0.8952381014823914,0.31309330463409424,0.7894737124443054,0.0,0.6370370388031006,0.0,0.0,0.0,0.3061889111995697,0.286135196685791,0.8823529481887817,0.0,0.609929084777832,0.0,0.0,0.0
3,0.006105608306825161,0.9775640964508057,0.8963230848312378,1.0,0.0,0.9764890074729919,0.0,0.0,0.0,0.9561128616333008,0.8174821138381958,0.9791666865348816,0.0,0.7381516695022583,0.0,0.0,0.0,0.10442627966403961,0.9125683307647705,0.5652925968170166,0.9777777791023254,0.0,0.764011800289154,0.0,0.0,0.0,0.2719869613647461,0.321001797914505,0.8627451062202454,0.0,0.6122931241989136,0.0,0.0,0.0
4,0.0048978510312736034,0.9810126423835754,0.9053007960319519,0.957446813583374,0.0,0.9611111283302307,0.0,0.0,0.0,0.9717868566513062,0.8356239795684814,0.9375,0.0,0.8199052214622498,0.0,0.0,0.0,0.16819781064987183,0.9278846383094788,0.37262997031211853,1.0,0.0,0.837579607963562,0.0,0.0,0.0,0.3143322467803955,0.39891961216926575,0.843137264251709,0.0,0.6217494010925293,0.0,0.0,0.0
5,0.003480862593278289,0.9811320900917053,0.9226328134536743,0.9777777791023254,0.0,0.9766871333122253,0.0,0.0,0.0,0.9780564308166504,0.8785046935081482,0.9166666865348816,0.0,0.9431279897689819,0.0,0.0,0.0,0.1491899937391281,0.9343434572219849,0.379030704498291,0.957446813583374,0.0,0.6768060922622681,0.0,0.0,0.0,0.3013029396533966,0.32132917642593384,0.8823529481887817,0.0,0.631205677986145,0.0,0.0,0.0
6,0.004589483141899109,0.987261176109314,0.9220023155212402,0.978723406791687,0.0,0.9758672714233398,0.0,0.0,0.0,0.9717868566513062,0.8708081245422363,0.9583333134651184,0.0,0.7665876746177673,0.0,0.0,0.0,0.1852419227361679,0.9021739363670349,0.40631744265556335,0.978723406791687,0.0,0.5657327771186829,0.0,0.0,0.0,0.27035829424858093,0.33900803327560425,0.9019607901573181,0.0,0.6205673813819885,0.0,0.0,0.0
7,0.0039175427518785,0.9842767119407654,0.88165682554245,0.978723406791687,0.0,0.9851852059364319,0.0,0.0,0.0,0.9811912178993225,0.8191313743591309,0.9583333134651184,0.0,0.9454976320266724,0.0,0.0,0.0,0.24861004948616028,0.8965517282485962,0.44478482007980347,0.9375,0.0,0.6583229303359985,0.0,0.0,0.0,0.33876222372055054,0.4990997016429901,0.8823529481887817,0.0,0.6217494010925293,0.0,0.0,0.0
8,0.0038303076289594173,0.9781249761581421,0.8593200445175171,1.0,0.0,0.9816849827766418,0.0,0.0,0.0,0.9811912178993225,0.8059373497962952,0.9583333134651184,0.0,0.9526066184043884,0.0,0.0,0.0,0.22570668160915375,0.9333333373069763,0.5849471092224121,0.978723406791687,0.0,0.5832414627075195,0.0,0.0,0.0,0.319218248128891,0.6971681118011475,0.9019607901573181,0.0,0.6252955198287964,0.0,0.0,0.0
9,0.004486113786697388,0.9779874086380005,0.8717165589332581,1.0,0.0,0.9829476475715637,0.0,0.0,0.0,0.9749216437339783,0.7844969630241394,0.9583333134651184,0.0,0.9561611413955688,0.0,0.0,0.0,0.12206371873617172,0.8857142925262451,0.5164807438850403,0.97826087474823,0.0,0.5657407641410828,0.0,0.0,0.0,0.3534201979637146,0.33344244956970215,0.8823529481887817,0.0,0.7222222089767456,0.0,0.0,0.0
