timestamp,smartMeter,vacuum cleaner,microwave,kettle,computer
2023-04-29 00:00:00,270.007,0.0,0.0,0.0,0.0
2023-04-29 00:00:01,270.017,0.0,0.0,0.0,0.0
2023-04-29 00:00:02,269.793,0.0,0.0,0.0,0.0
2023-04-29 00:00:03,269.864,0.0,0.0,0.0,0.0
2023-04-29 00:00:04,270.036,0.0,0.0,0.0,0.0
2023-04-29 00:00:05,270.033,0.0,0.0,0.0,0.0
2023-04-29 00:00:06,269.95,0.0,0.0,0.0,0.0
2023-04-29 00:00:07,269.779,0.0,0.0,0.0,0.0
2023-04-29 00:00:08,269.993,0.0,0.0,0.0,0.0
2023-04-29 00:00:09,269.94,0.0,0.0,0.0,0.0
2023-04-29 00:00:10,269.893,0.0,0.0,0.0,0.0
2023-04-29 00:00:11,269.707,0.0,0.0,0.0,0.0
2023-04-29 00:00:12,270.093,0.0,0.0,0.0,0.0
2023-04-29 00:00:13,270.414,0.0,0.0,0.0,0.0
2023-04-29 00:00:14,270.55,0.0,0.0,0.0,0.0
2023-04-29 00:00:15,270.126,0.0,0.0,0.0,0.0
2023-04-29 00:00:16,269.864,0.0,0.0,0.0,0.0
2023-04-29 00:00:17,269.921,0.0,0.0,0.0,0.0
2023-04-29 00:00:18,270.283,0.0,0.0,0.0,0.0
2023-04-29 00:00:19,270.35,0.0,0.0,0.0,0.0
2023-04-29 00:00:20,270.264,0.0,0.0,0.0,0.0
2023-04-29 00:00:21,269.787,0.0,0.0,0.0,0.0
2023-04-29 00:00:22,270.001,0.0,0.0,0.0,0.0
2023-04-29 00:00:23,270.06,0.0,0.0,0.0,0.0
2023-04-29 00:00:24,269.964,0.0,0.0,0.0,0.0
2023-04-29 00:00:25,269.99,0.0,0.0,0.0,0.0
2023-04-29 00:00:26,269.693,0.0,0.0,0.0,0.0
2023-04-29 00:00:27,269.843,0.0,0.0,0.0,0.0
2023-04-29 00:00:28,269.902,0.0,0.0,0.0,0.0
2023-04-29 00:00:29,269.852,0.0,0.0,0.0,0.0
2023-04-29 00:00:30,269.85,0.0,0.0,0.0,0.0
2023-04-29 00:00:31,269.633,0.0,0.0,0.0,0.0
2023-04-29 00:00:32,269.979,0.0,0.0,0.0,0.0
2023-04-29 00:00:33,270.05,0.0,0.0,0.0,0.0
2023-04-29 00:00:34,269.964,0.0,0.0,0.0,0.0
2023-04-29 00:00:35,269.743,0.0,0.0,0.0,0.0
2023-04-29 00:00:36,269.6,0.0,0.0,0.0,0.0
2023-04-29 00:00:37,269.964,0.0,0.0,0.0,0.0
2023-04-29 00:00:38,269.936,0.0,0.0,0.0,0.0
2023-04-29 00:00:39,269.95,0.0,0.0,0.0,0.0
2023-04-29 00:00:40,269.893,0.0,0.0,0.0,0.0
