name,start_time,end_time
"microwave",2023-04-01 20:31:34,2023-04-01 20:32:07
"kettle",2023-04-01 21:56:31,2023-04-01 22:01:00
"computer",2023-04-01 22:10:00,2023-04-01 00:20:55
