timestamp,smartMeter,computer,vacuum cleaner,microwave,kettle
2023-01-14 00:00:00,310.9,39.2,0.0,0.0,0.0
2023-01-14 00:00:01,315.114,43.414,0.0,0.0,0.0
2023-01-14 00:00:02,299.229,27.7,0.0,0.0,0.0
2023-01-14 00:00:03,300.857,29.157,0.0,0.0,0.0
2023-01-14 00:00:04,301.643,30.2,0.0,0.0,0.0
2023-01-14 00:00:05,301.014,29.571,0.0,0.0,0.0
2023-01-14 00:00:06,300.071,28.629,0.0,0.0,0.0
2023-01-14 00:00:07,299.517,28.017,0.0,0.0,0.0
2023-01-14 00:00:08,310.167,38.667,0.0,0.0,0.0
2023-01-14 00:00:09,311.964,40.514,0.0,0.0,0.0
2023-01-14 00:00:10,305.059,33.571,0.0,0.0,0.0
2023-01-14 00:00:11,300.125,28.725,0.0,0.0,0.0
2023-01-14 00:00:12,300.602,28.717,0.0,0.0,0.0
2023-01-14 00:00:13,300.724,28.857,0.0,0.0,0.0
2023-01-14 00:00:14,301.56,29.75,0.0,0.0,0.0
2023-01-14 00:00:15,299.867,28.267,0.0,0.0,0.0
2023-01-14 00:00:16,299.743,27.714,0.0,0.0,0.0
2023-01-14 00:00:17,301.343,29.5,0.0,0.0,0.0
2023-01-14 00:00:18,301.05,29.2,0.0,0.0,0.0
2023-01-14 00:00:19,299.555,28.083,0.0,0.0,0.0
2023-01-14 00:00:20,299.575,28.275,0.0,0.0,0.0
2023-01-14 00:00:21,299.31,27.86,0.0,0.0,0.0
2023-01-14 00:00:22,302.63,31.15,0.0,0.0,0.0
2023-01-14 00:00:23,304.038,32.567,0.0,0.0,0.0
2023-01-14 00:00:24,299.393,28.0,0.0,0.0,0.0
2023-01-14 00:00:25,300.771,29.371,0.0,0.0,0.0
2023-01-14 00:00:26,299.404,27.943,0.0,0.0,0.0
2023-01-14 00:00:27,300.681,29.267,0.0,0.0,0.0
2023-01-14 00:00:28,300.85,29.35,0.0,0.0,0.0
2023-01-14 00:00:29,301.029,29.529,0.0,0.0,0.0
2023-01-14 00:00:30,305.96,34.533,0.0,0.0,0.0
2023-01-14 00:00:31,313.555,42.083,0.0,0.0,0.0
2023-01-14 00:00:32,300.557,29.0,0.0,0.0,0.0
2023-01-14 00:00:33,299.99,28.257,0.0,0.0,0.0
2023-01-14 00:00:34,298.786,27.3,0.0,0.0,0.0
2023-01-14 00:00:35,298.7,27.3,0.0,0.0,0.0
2023-01-14 00:00:36,300.2,28.8,0.0,0.0,0.0
2023-01-14 00:00:37,298.95,27.467,0.0,0.0,0.0
2023-01-14 00:00:38,305.4,33.9,0.0,0.0,0.0
