timestamp,smartMeter,microwave,kettle,computer
2023-01-15 00:00:00,273.183,0.0,0.0,0.0
2023-01-15 00:00:01,273.417,0.0,0.0,0.0
2023-01-15 00:00:02,273.333,0.0,0.0,0.0
2023-01-15 00:00:03,273.05,0.0,0.0,0.0
2023-01-15 00:00:04,273.007,0.0,0.0,0.0
2023-01-15 00:00:05,272.933,0.0,0.0,0.0
2023-01-15 00:00:06,272.89,0.0,0.0,0.0
2023-01-15 00:00:07,273.033,0.0,0.0,0.0
2023-01-15 00:00:08,272.976,0.0,0.0,0.0
2023-01-15 00:00:09,272.976,0.0,0.0,0.0
2023-01-15 00:00:10,272.883,0.0,0.0,0.0
2023-01-15 00:00:11,273.019,0.0,0.0,0.0
2023-01-15 00:00:12,273.033,0.0,0.0,0.0
2023-01-15 00:00:13,272.948,0.0,0.0,0.0
2023-01-15 00:00:14,272.912,0.0,0.0,0.0
2023-01-15 00:00:15,273.033,0.0,0.0,0.0
2023-01-15 00:00:16,273.286,0.0,0.0,0.0
2023-01-15 00:00:17,273.252,0.0,0.0,0.0
2023-01-15 00:00:18,273.005,0.0,0.0,0.0
2023-01-15 00:00:19,273.033,0.0,0.0,0.0
2023-01-15 00:00:20,273.033,0.0,0.0,0.0
2023-01-15 00:00:21,273.0,0.0,0.0,0.0
2023-01-15 00:00:22,273.008,0.0,0.0,0.0
2023-01-15 00:00:23,273.033,0.0,0.0,0.0
2023-01-15 00:00:24,273.033,0.0,0.0,0.0
2023-01-15 00:00:25,272.956,0.0,0.0,0.0
2023-01-15 00:00:26,273.005,0.0,0.0,0.0
2023-01-15 00:00:27,272.976,0.0,0.0,0.0
2023-01-15 00:00:28,273.155,0.0,0.0,0.0
2023-01-15 00:00:29,273.469,0.0,0.0,0.0
2023-01-15 00:00:30,273.533,0.0,0.0,0.0
2023-01-15 00:00:31,273.467,0.0,0.0,0.0
2023-01-15 00:00:32,272.99,0.0,0.0,0.0
2023-01-15 00:00:33,272.976,0.0,0.0,0.0
2023-01-15 00:00:34,272.95,0.0,0.0,0.0
2023-01-15 00:00:35,272.99,0.0,0.0,0.0
2023-01-15 00:00:36,272.983,0.0,0.0,0.0
2023-01-15 00:00:37,273.033,0.0,0.0,0.0
2023-01-15 00:00:38,273.0,0.0,0.0,0.0
2023-01-15 00:00:39,272.94,0.0,0.0,0.0
2023-01-15 00:00:40,273.033,0.0,0.0,0.0
2023-01-15 00:00:41,273.017,0.0,0.0,0.0
2023-01-15 00:00:42,272.89,0.0,0.0,0.0
2023-01-15 00:00:43,273.033,0.0,0.0,0.0
2023-01-15 00:00:44,272.967,0.0,0.0,0.0
2023-01-15 00:00:45,273.033,0.0,0.0,0.0
2023-01-15 00:00:46,273.293,0.0,0.0,0.0
2023-01-15 00:00:47,273.333,0.0,0.0,0.0
2023-01-15 00:00:48,273.033,0.0,0.0,0.0
2023-01-15 00:00:49,272.953,0.0,0.0,0.0
2023-01-15 00:00:50,273.033,0.0,0.0,0.0
2023-01-15 00:00:51,273.033,0.0,0.0,0.0
2023-01-15 00:00:52,272.89,0.0,0.0,0.0
2023-01-15 00:00:53,273.033,0.0,0.0,0.0
2023-01-15 00:00:54,273.033,0.0,0.0,0.0
2023-01-15 00:00:55,273.033,0.0,0.0,0.0
2023-01-15 00:00:56,272.948,0.0,0.0,0.0
2023-01-15 00:00:57,272.933,0.0,0.0,0.0
2023-01-15 00:00:58,272.998,0.0,0.0,0.0
2023-01-15 00:00:59,273.176,0.0,0.0,0.0
2023-01-15 00:01:00,273.348,0.0,0.0,0.0
2023-01-15 00:01:01,273.433,0.0,0.0,0.0
2023-01-15 00:01:02,273.376,0.0,0.0,0.0
2023-01-15 00:01:03,273.483,0.0,0.0,0.0
2023-01-15 00:01:04,273.5,0.0,0.0,0.0
2023-01-15 00:01:05,273.519,0.0,0.0,0.0
2023-01-15 00:01:06,273.117,0.0,0.0,0.0
2023-01-15 00:01:07,273.162,0.0,0.0,0.0
2023-01-15 00:01:08,272.883,0.0,0.0,0.0
2023-01-15 00:01:09,272.99,0.0,0.0,0.0
2023-01-15 00:01:10,273.033,0.0,0.0,0.0
2023-01-15 00:01:11,273.019,0.0,0.0,0.0
2023-01-15 00:01:12,272.926,0.0,0.0,0.0
2023-01-15 00:01:13,272.983,0.0,0.0,0.0
2023-01-15 00:01:14,272.99,0.0,0.0,0.0
2023-01-15 00:01:15,273.033,0.0,0.0,0.0
2023-01-15 00:01:16,273.3,0.0,0.0,0.0
2023-01-15 00:01:17,272.976,0.0,0.0,0.0
2023-01-15 00:01:18,273.033,0.0,0.0,0.0
2023-01-15 00:01:19,273.033,0.0,0.0,0.0
2023-01-15 00:01:20,272.976,0.0,0.0,0.0
2023-01-15 00:01:21,273.033,0.0,0.0,0.0
2023-01-15 00:01:22,273.283,0.0,0.0,0.0
2023-01-15 00:01:23,273.395,0.0,0.0,0.0
2023-01-15 00:01:24,273.348,0.0,0.0,0.0
2023-01-15 00:01:25,272.95,0.0,0.0,0.0
2023-01-15 00:01:26,272.905,0.0,0.0,0.0
2023-01-15 00:01:27,273.017,0.0,0.0,0.0
2023-01-15 00:01:28,273.09,0.0,0.0,0.0
2023-01-15 00:01:29,273.49,0.0,0.0,0.0
2023-01-15 00:01:30,273.29,0.0,0.0,0.0
2023-01-15 00:01:31,273.242,0.0,0.0,0.0
2023-01-15 00:01:32,273.048,0.0,0.0,0.0
2023-01-15 00:01:33,272.933,0.0,0.0,0.0
2023-01-15 00:01:34,272.967,0.0,0.0,0.0
2023-01-15 00:01:35,273.033,0.0,0.0,0.0
