epoch,loss,precision_coffee machine,precision_computer,precision_kettle,precision_microwave,precision_vacuum cleaner,recall_coffee machine,recall_computer,recall_kettle,recall_microwave,recall_vacuum cleaner
0,0.021744290366768837,0.8456023931503296,0.6147719621658325,0.7939394116401672,0.8606038689613342,0.0,0.8643431663513184,0.5384536981582642,0.6834782361984253,0.643104076385498,0.0
1,0.01832517981529236,0.9240620732307434,0.6521009802818298,0.9607476592063904,0.9195289611816406,0.3478260934352875,0.9156389832496643,0.6347920894622803,0.8939130306243896,0.6819505095481873,0.07407407462596893
2,0.01623767428100109,0.9495598077774048,0.6772171258926392,0.9684600830078125,0.9236677885055542,0.5454545617103577,0.9252904653549194,0.6873341202735901,0.9078260660171509,0.7001455426216125,0.2222222238779068
3,0.015288022346794605,0.9586169123649597,0.6822704076766968,0.9654545187950134,0.9213549494743347,0.6666666865348816,0.9315460324287415,0.7117334604263306,0.9234782457351685,0.7076964974403381,0.34259259700775146
4,0.014710265211760998,0.9583410024642944,0.6909523010253906,0.967391312122345,0.9204558730125427,0.7962962985038757,0.9333333373069763,0.7219424247741699,0.9286956787109375,0.720069169998169,0.39814814925193787
5,0.014015202410519123,0.9669785499572754,0.7023696303367615,0.9585585594177246,0.924270510673523,0.8034682273864746,0.942091166973114,0.7272510528564453,0.9252173900604248,0.7261644601821899,0.6435185074806213
6,0.01593627594411373,0.964996337890625,0.7075163722038269,0.9677996635437012,0.9287531971931458,0.8074533939361572,0.93619304895401,0.7306540608406067,0.9408695697784424,0.7305312752723694,0.6018518805503845
7,0.013039819896221161,0.9640828371047974,0.7192148566246033,0.9675675630569458,0.9421544671058655,0.8477157354354858,0.9403038620948792,0.751888632774353,0.9339130520820618,0.7423580884933472,0.7731481194496155
8,0.01247275248169899,0.9695144295692444,0.7292992472648621,0.9765343070030212,0.9398333430290222,0.8627451062202454,0.9492403864860535,0.7603961229324341,0.9408695697784424,0.748908281326294,0.8148148059844971
9,0.012085575610399246,0.9668669104576111,0.741059422492981,0.9679144620895386,0.9412498474121094,0.9313725233078003,0.9492403864860535,0.7679166793823242,0.9443477988243103,0.7550036311149597,0.8796296119689941
