epoch,loss,precision_coffee machine,precision_computer,precision_kettle,precision_lamp,precision_microwave,precision_printer,precision_radio,precision_television,recall_coffee machine,recall_computer,recall_kettle,recall_lamp,recall_microwave,recall_printer,recall_radio,recall_television
0,0.007392697501927614,0.9785662889480591,0.7954838871955872,0.9784946441650391,0.0,0.951160192489624,0.0,0.0,0.0,0.9710455536842346,0.7132988572120667,0.9495652318000793,0.0,0.7831149697303772,0.0,0.0,0.0
1,0.007513711694628,0.9782099723815918,0.7982536554336548,0.9805996417999268,0.0,0.9499000310897827,0.0,0.0,0.0,0.970866858959198,0.7093173861503601,0.9669564962387085,0.0,0.777929425239563,0.0,0.0,0.0
2,0.007358102593570948,0.9776978492736816,0.8047648072242737,0.9769093990325928,0.0,0.9492640495300293,0.0,0.0,0.0,0.971581757068634,0.7253453731536865,0.95652174949646,0.0,0.7744723558425903,0.0,0.0,0.0
3,0.007419576868414879,0.9780299067497253,0.8087127804756165,0.9716312289237976,0.0,0.9509434103965759,0.0,0.0,0.0,0.9706881046295166,0.7271149754524231,0.9530434608459473,0.0,0.77947598695755,0.0,0.0,0.0
4,0.007092815358191729,0.981798529624939,0.820743978023529,0.9839857816696167,0.0,0.9538952708244324,0.0,0.0,0.0,0.9737265706062317,0.7372898459434509,0.9617391228675842,0.0,0.7886644601821899,0.0,0.0,0.0
5,0.0066482736729085445,0.9839668273925781,0.8297569751739502,0.9840425252914429,0.0,0.9515585899353027,0.0,0.0,0.0,0.9762287735939026,0.7539985179901123,0.9652174115180969,0.0,0.7970342040061951,0.0,0.0,0.0
6,0.006441725883632898,0.9834293723106384,0.829738438129425,0.9839285612106323,0.0,0.9476750493049622,0.0,0.0,0.0,0.9758713245391846,0.7631865739822388,0.9582608938217163,0.0,0.7991266250610352,0.0,0.0,0.0
7,0.006331018637865782,0.9812983274459839,0.8382358551025391,0.9893048405647278,0.0,0.9489938616752625,0.0,0.0,0.0,0.9753351211547852,0.7709453701972961,0.9652174115180969,0.0,0.8023107647895813,0.0,0.0,0.0
8,0.007299360819160938,0.9677185416221619,0.830054759979248,0.9644760489463806,0.0,0.927370011806488,0.0,0.0,0.0,0.9537086486816406,0.748111367225647,0.9443477988243103,0.0,0.7724708914756775,0.0,0.0,0.0
9,0.006470579653978348,0.9830508232116699,0.8381545543670654,0.9858657121658325,0.0,0.9549283385276794,0.0,0.0,0.0,0.9744414687156677,0.7690737247467041,0.9704347848892212,0.0,0.7941229939460754,0.0,0.0,0.0
