epoch,loss,precision_coffee machine,precision_computer,precision_kettle,precision_lamp,precision_microwave,precision_printer,precision_radio,precision_television,recall_coffee machine,recall_computer,recall_kettle,recall_lamp,recall_microwave,recall_printer,recall_radio,recall_television
0,0.015409685671329498,0.8818574547767639,0.6257489919662476,0.8003802299499512,0.0,0.95469069480896,0.0,0.0,0.0,0.7297587394714355,0.3873613178730011,0.7321739196777344,0.0,0.5980713367462158,0.0,0.0,0.0
1,0.012059282511472702,0.9389662146568298,0.6946280002593994,0.9440433382987976,0.0,0.9593175649642944,0.0,0.0,0.0,0.8798927664756775,0.5258285999298096,0.9095652103424072,0.0,0.6650291085243225,0.0,0.0,0.0
2,0.011097156442701817,0.9532693028450012,0.7192419171333313,0.9564428329467773,0.0,0.9550647139549255,0.0,0.0,0.0,0.9224307537078857,0.564384400844574,0.9165217280387878,0.0,0.6844978332519531,0.0,0.0,0.0
3,0.010193400084972382,0.9641741514205933,0.732404887676239,0.949999988079071,0.0,0.9467088580131531,0.0,0.0,0.0,0.9379803538322449,0.6013067364692688,0.9252173900604248,0.0,0.7078784704208374,0.0,0.0,0.0
4,0.009191459976136684,0.9680043458938599,0.7528621554374695,0.9764492511749268,0.0,0.9463494420051575,0.0,0.0,0.0,0.9571045637130737,0.6332947611808777,0.9373912811279297,0.0,0.738173246383667,0.0,0.0,0.0
5,0.008917439728975296,0.9720014333724976,0.7609791159629822,0.9611307382583618,0.0,0.9426766037940979,0.0,0.0,0.0,0.9617515802383423,0.6527597904205322,0.9460869431495667,0.0,0.7465429306030273,0.0,0.0,0.0
6,0.008371339179575443,0.9752394556999207,0.7703477144241333,0.9679144620895386,0.0,0.9452764391899109,0.0,0.0,0.0,0.9644325375556946,0.6770230531692505,0.9443477988243103,0.0,0.7637372612953186,0.0,0.0,0.0
7,0.00817995984107256,0.9742990732192993,0.7809457182884216,0.9784946441650391,0.0,0.9473921060562134,0.0,0.0,0.0,0.9689007997512817,0.6850881576538086,0.9495652318000793,0.0,0.7667394280433655,0.0,0.0,0.0
8,0.00794384628534317,0.9796212911605835,0.7901239395141602,0.980322003364563,0.0,0.949419379234314,0.0,0.0,0.0,0.970866858959198,0.7007758617401123,0.9530434608459473,0.0,0.7735626101493835,0.0,0.0,0.0
9,0.0075338417664170265,0.9789416790008545,0.7931086421012878,0.9768683314323425,0.0,0.9486448168754578,0.0,0.0,0.0,0.9721179604530334,0.7151364684104919,0.9547826051712036,0.0,0.7864810824394226,0.0,0.0,0.0
