name,start_time,end_time
"kettle",2023-05-31 10:18:11,2023-05-31 10:22:41
"computer",2023-05-31 11:06:27,2023-05-31 17:11:28
"coffee machine",2023-05-31 15:23:53,2023-05-31 15:28:52
"microwave",2023-05-31 20:31:33,2023-05-31 20:31:48
"coffee machine",2023-05-31 22:04:32,2023-05-31 22:13:40
"computer",2023-05-31 22:10:00,2023-05-31 22:17:29
