name,start_time,end_time
"vacuum cleaner",2023-01-14 11:25:52,2023-01-14 12:01:53
"microwave",2023-01-14 21:20:06,2023-01-14 21:20:39
"kettle",2023-01-14 22:02:54,2023-01-14 22:03:07
"computer",2023-01-14 22:10:00,2023-01-14 22:49:12
