epoch,accuracy,loss,precision,recall
0,0.9998053908348083,0.0007663262658752501,0.9892357587814331,0.9855228066444397
1,0.9998499155044556,0.0005620519514195621,0.9924650192260742,0.9887399673461914
2,0.9997875690460205,0.0010307877091690898,0.9876322150230408,0.9848078489303589
3,0.9998142719268799,0.0007205603760667145,0.9903087019920349,0.9862377047538757
4,0.9998206496238708,0.0006623048102483153,0.9903191328048706,0.9873101115226746
5,0.999839723110199,0.0006873185047879815,0.991391658782959,0.9880250096321106
6,0.9998257160186768,0.0007987964781932533,0.990143358707428,0.9874888062477112
7,0.9998562335968018,0.0005744502996094525,0.9935333132743835,0.98856121301651
8,0.9998117685317993,0.0009759016102179885,0.9883637428283691,0.9867739081382751
9,0.9998142719268799,0.0007451034034602344,0.9901256561279297,0.9857015013694763
