epoch,accuracy,loss,precision,recall
0,0.9997252225875854,0.0025785949546843767,0.0,0.0
1,0.9997252225875854,0.0025520490016788244,0.0,0.0
2,0.9997252225875854,0.0025544813834130764,0.0,0.0
3,0.9997252225875854,0.0025615226477384567,0.0,0.0
4,0.9997252225875854,0.0025592404417693615,0.0,0.0
5,0.9997252225875854,0.002541716443374753,0.0,0.0
6,0.9997252225875854,0.002548780059441924,0.0,0.0
7,0.9997252225875854,0.0025491470005363226,0.0,0.0
8,0.9997252225875854,0.002552316291257739,0.0,0.0
9,0.9997252225875854,0.002552166348323226,0.0,0.0
