epoch,accuracy,loss,precision,recall
0,0.9953227043151855,0.02282567135989666,0.9729764461517334,0.6845887899398804
1,0.995418131351471,0.022759726271033287,0.9673748016357422,0.6959607005119324
2,0.9954728484153748,0.02209051512181759,0.9670813083648682,0.7002365589141846
3,0.9954359531402588,0.04474300518631935,0.9730420112609863,0.6928675174713135
4,0.9955008029937744,0.02258172817528248,0.9650742411613464,0.7038755416870117
5,0.9955593347549438,0.02176973596215248,0.9640074372291565,0.7090611457824707
6,0.9955376982688904,0.027079256251454353,0.9690476059913635,0.703511655330658
7,0.9956331253051758,0.02170325256884098,0.9688701629638672,0.710698664188385
8,0.9957119822502136,0.022299738600850105,0.9703776836395264,0.7152474522590637
9,0.9957208633422852,0.02238750271499157,0.972040057182312,0.7147925496101379
