epoch,accuracy,loss,precision,recall
0,0.9805315136909485,0.05120521038770676,0.7665619850158691,0.6894779801368713
1,0.9809881448745728,0.0489799939095974,0.7732909917831421,0.6959776878356934
2,0.9814295768737793,0.04776077717542648,0.778149425983429,0.7045872211456299
3,0.9819676280021667,0.04631856083869934,0.7870670557022095,0.709929883480072
4,0.9821698665618896,0.04582752287387848,0.7927372455596924,0.7087048292160034
5,0.9821431636810303,0.04673463851213455,0.7946298718452454,0.7049615383148193
6,0.982757568359375,0.04418278485536575,0.7993199825286865,0.7200027108192444
7,0.9829954504966736,0.04550321400165558,0.8043585419654846,0.7209555506706238
8,0.9835856556892395,0.043125394731760025,0.8113556504249573,0.7313686609268188
9,0.9832956194877625,0.04328112304210663,0.8132968544960022,0.7185053825378418
