epoch,accuracy,loss,precision,recall
0,0.9999262094497681,0.00038563815178349614,0.9696428775787354,0.9443477988243103
1,0.9999338388442993,0.00024870230117812753,0.9733096361160278,0.9513043761253357
2,0.9999376535415649,0.00041451872675679624,0.9785330891609192,0.9513043761253357
3,0.9999275207519531,0.0003681968664750457,0.9712746739387512,0.9408695697784424
4,0.99993896484375,0.0003126892261207104,0.976827085018158,0.9530434608459473
5,0.9999465942382812,0.0002582275774329901,0.982206404209137,0.9599999785423279
6,0.9999478459358215,0.0002761366486083716,0.9892086386680603,0.95652174949646
7,0.9999490976333618,0.00019455190340522677,0.9787610769271851,0.9617391228675842
8,0.9999427795410156,0.00028964263037778437,0.9821428656578064,0.95652174949646
9,0.9999402165412903,0.0003356454544700682,0.9769093990325928,0.95652174949646
