name,start_time,end_time
"kettle",2023-03-06 10:12:05,2023-03-06 10:13:55
"computer",2023-03-06 11:00:17,2023-03-06 12:19:14
"coffee machine",2023-03-06 15:01:29,2023-03-06 15:06:22
"microwave",2023-03-06 21:23:57,2023-03-06 22:20:25
"coffee machine",2023-03-06 22:02:20,2023-03-06 22:06:21
"computer",2023-03-06 22:10:00,2023-03-06 22:42:30
