name,start_time,end_time
"kettle",2023-02-23 09:43:37,2023-02-23 09:45:40
"computer",2023-02-23 10:32:06,2023-02-23 10:44:23
"coffee machine",2023-02-23 14:49:51,2023-02-23 14:54:50
"microwave",2023-02-23 21:16:18,2023-02-23 21:16:37
"coffee machine",2023-02-23 22:02:41,2023-02-23 22:07:02
"computer",2023-02-23 22:10:00,2023-02-23 23:16:14
