epoch,loss,precision_coffee machine,precision_computer,precision_kettle,precision_microwave,precision_vacuum cleaner,recall_coffee machine,recall_computer,recall_kettle,recall_microwave,recall_vacuum cleaner
0,0.024805137887597084,0.8817158341407776,0.6468636989593506,0.8714859485626221,0.9445858001708984,0.7105262875556946,0.742091178894043,0.3783093988895416,0.7547826170921326,0.607896625995636,0.375
1,0.019220460206270218,0.9428902268409729,0.7068800926208496,0.9401088953018188,0.9488547444343567,0.96517413854599,0.8734584450721741,0.5289934277534485,0.9008695483207703,0.6633005738258362,0.8981481194496155
2,0.017686445266008377,0.9501312375068665,0.7326174974441528,0.9407540559768677,0.9499000310897827,0.9763033390045166,0.9058087468147278,0.5618662238121033,0.9113043546676636,0.6916848421096802,0.9537037014961243
3,0.016621189191937447,0.9630242586135864,0.7478219270706177,0.9639639854431152,0.9490820169448853,0.9631336331367493,0.9356568455696106,0.5812631845474243,0.9304347634315491,0.7054221034049988,0.9675925970077515
4,0.015497645363211632,0.9662554264068604,0.7658704519271851,0.9559082984924316,0.9499288201332092,0.9716981053352356,0.9519213438034058,0.6055604815483093,0.9426087141036987,0.728347897529602,0.9537037014961243
5,0.014714444056153297,0.9697682857513428,0.7695099115371704,0.9607142806053162,0.945500910282135,0.9763033390045166,0.9574620127677917,0.6278159618377686,0.9356521964073181,0.7418122291564941,0.9537037014961243
6,0.01465816330164671,0.9710092544555664,0.7669466733932495,0.9625668525695801,0.9533056020736694,0.9809523820877075,0.9578194618225098,0.6275777816772461,0.939130425453186,0.7503638863563538,0.9537037014961243
7,0.013946414925158024,0.9722322225570679,0.7755423188209534,0.9784172773361206,0.947847843170166,0.9722222089767456,0.9637175798416138,0.6545634269714355,0.9460869431495667,0.7572780251502991,0.9722222089767456
8,0.013392437249422073,0.9764620661735535,0.7857397198677063,0.9644760489463806,0.9495817422866821,0.9624413251876831,0.9638963341712952,0.6761382818222046,0.9443477988243103,0.7641921639442444,0.9490740895271301
9,0.013250908814370632,0.9768911600112915,0.7829316258430481,0.969911515712738,0.9522791504859924,0.9854369163513184,0.9671134948730469,0.6886953115463257,0.9530434608459473,0.7697416543960571,0.9398148059844971
