epoch,loss,precision_coffee machine,precision_computer,precision_kettle,precision_microwave,precision_vacuum cleaner,recall_coffee machine,recall_computer,recall_kettle,recall_microwave,recall_vacuum cleaner,val_loss,val_precision_coffee machine,val_precision_computer,val_precision_kettle,val_precision_microwave,val_precision_vacuum cleaner,val_recall_coffee machine,val_recall_computer,val_recall_kettle,val_recall_microwave,val_recall_vacuum cleaner
0,0.022777670994400978,0.9368387460708618,0.6219196915626526,0.8624904751777649,0.9347687363624573,0.9264214038848877,0.8355733752250671,0.4552880823612213,0.7867595553398132,0.5859434604644775,0.5120148062705994,0.06373810768127441,0.9361590147018433,0.10376011580228806,0.981179416179657,0.9681413173675537,0.0,0.8887221217155457,0.014484857209026814,0.8998849391937256,0.5020463466644287,0.0
1,0.018574800342321396,0.9768670201301575,0.6720883846282959,0.9572953581809998,0.9515276551246643,0.9305301904678345,0.9388761520385742,0.5119540095329285,0.9372822046279907,0.6548437476158142,0.9408502578735352,0.06546241790056229,0.9240931272506714,0.228093683719635,0.9986928105354309,0.920314610004425,1.0,0.924885630607605,0.05202588811516762,0.8791714906692505,0.5052003264427185,0.008132360875606537
2,0.01747516356408596,0.9771121740341187,0.698143720626831,0.9723011255264282,0.9576072692871094,0.9225092530250549,0.949170708656311,0.5412400364875793,0.9540069699287415,0.6697224378585815,0.9242144227027893,0.058915238827466965,0.9812490344047546,0.22274744510650635,0.9820972084999084,0.8380242586135864,1.0,0.9050886034965515,0.07138775289058685,0.88377445936203,0.5064393877983093,0.008132360875606537
3,0.0167153961956501,0.9797544479370117,0.7054962515830994,0.9723404049873352,0.9567354321479797,0.9444444179534912,0.9583213925361633,0.5604645609855652,0.9554007053375244,0.6797628402709961,0.9426987171173096,0.06118252873420715,0.9792966842651367,0.2346595823764801,1.0,0.9017195701599121,0.0,0.9195254445075989,0.07978631556034088,0.5115074515342712,0.49814140796661377,0.0
4,0.014819854870438576,0.9810855984687805,0.7195696830749512,0.9815078377723694,0.9537609815597534,0.9447513818740845,0.9678295850753784,0.6338362097740173,0.9616724848747253,0.6895849108695984,0.9482439756393433,0.056469544768333435,0.9777393341064453,0.14841791987419128,0.9879974722862244,0.7120469212532043,1.0,0.9291738271713257,0.11643698811531067,0.8998849391937256,0.501558244228363,0.002804262563586235
5,0.010724233463406563,0.9852473139762878,0.7502848505973816,0.9716513156890869,0.9331156611442566,0.9644860029220581,0.9739776849746704,0.815815269947052,0.9554007053375244,0.7277820110321045,0.9537892937660217,0.05531364306807518,0.9736802577972412,0.5247294306755066,0.9954515695571899,0.39239609241485596,0.0,0.9253859519958496,0.2938166856765747,0.8814729452133179,0.49874216318130493,0.0
6,0.009603301994502544,0.9864387512207031,0.7694827914237976,0.9766784310340881,0.9324016571044922,0.9684600830078125,0.977623701095581,0.8473341464996338,0.9630662202835083,0.7596856951713562,0.9648798704147339,0.055684834718704224,0.9655448794364929,0.6126166582107544,0.9985195994377136,0.5699583292007446,0.0,0.9473270177841187,0.46922963857650757,0.7761794924736023,0.5032103061676025,0.0
7,0.009024997241795063,0.9875450134277344,0.7821002006530762,0.9808238744735718,0.9325245022773743,0.9630996584892273,0.9806262254714966,0.856755793094635,0.9623693227767944,0.7717268466949463,0.9648798704147339,0.07087968289852142,0.9752053618431091,0.5370895266532898,0.9980340600013733,0.3066449463367462,1.0,0.9332475662231445,0.3929515779018402,0.8762946128845215,0.48792850971221924,0.0008412787574343383
8,0.00854084175080061,0.9907973408699036,0.7937296628952026,0.9815863966941833,0.9350903034210205,0.955719530582428,0.9852015972137451,0.8634544014930725,0.9658536314964294,0.7834770083427429,0.9574861526489258,0.07264488190412521,0.9844667315483093,0.4009595215320587,0.9986120462417603,0.2574480175971985,1.0,0.9466838240623474,0.7463289499282837,0.8279631733894348,0.5113580822944641,0.015423444099724293
9,0.008182348683476448,0.9902242422103882,0.8023368716239929,0.9794180393218994,0.9380725026130676,0.9721189737319946,0.9848441481590271,0.8685464262962341,0.9616724848747253,0.7935174107551575,0.9667282700538635,0.08104950934648514,0.9896409511566162,0.5804381370544434,0.945188045501709,0.43789803981781006,1.0,0.908090353012085,0.2644217312335968,0.8532796502113342,0.4827845096588135,0.0030846886802464724
10,0.00778287835419178,0.9928176403045654,0.8133928775787354,0.9781227707862854,0.9379692673683167,0.9737827777862549,0.9882041811943054,0.8728624582290649,0.9658536314964294,0.7998108267784119,0.9611830115318298,0.0791584923863411,0.9861017465591431,0.5465217232704163,0.9869024157524109,0.37383151054382324,0.5833333134651184,0.9431818127632141,0.500498354434967,0.8670886158943176,0.49401119351387024,0.001962983747944236
