name,start_time,end_time
"kettle",2023-05-23 10:19:08,2023-05-23 10:22:12
"computer",2023-05-23 10:39:43,2023-05-23 11:37:45
"coffee machine",2023-05-23 14:41:41,2023-05-23 14:49:01
"microwave",2023-05-23 20:53:32,2023-05-23 20:57:54
"coffee machine",2023-05-23 21:56:26,2023-05-23 22:00:43
"computer",2023-05-23 22:10:00,2023-05-23 22:25:52
