name,start_time,end_time
"kettle",2023-05-18 09:38:46,2023-05-18 09:39:08
"computer",2023-05-18 10:35:15,2023-05-18 11:03:22
"coffee machine",2023-05-18 15:23:08,2023-05-18 15:27:29
"microwave",2023-05-18 21:19:53,2023-05-18 21:20:13
"coffee machine",2023-05-18 21:56:33,2023-05-18 22:04:42
"computer",2023-05-18 22:10:00,2023-05-18 00:07:21
