epoch,loss,precision_coffee machine,precision_computer,precision_kettle,precision_lamp,precision_microwave,precision_printer,precision_radio,precision_television,recall_coffee machine,recall_computer,recall_kettle,recall_lamp,recall_microwave,recall_printer,recall_radio,recall_television,val_loss,val_precision_coffee machine,val_precision_computer,val_precision_kettle,val_precision_lamp,val_precision_microwave,val_precision_printer,val_precision_radio,val_precision_television,val_recall_coffee machine,val_recall_computer,val_recall_kettle,val_recall_lamp,val_recall_microwave,val_recall_printer,val_recall_radio,val_recall_television
0,0.018541131168603897,0.7536945939064026,0.6448276042938232,0.7777777910232544,0.0,0.8745098114013672,0.0,0.0,0.0,0.47962382435798645,0.30841121077537537,0.1458333283662796,0.0,0.528436005115509,0.0,0.0,0.0,0.04116171598434448,0.6465256810188293,0.561107337474823,0.75,0.0,0.5751683115959167,0.0,0.0,0.0,0.3485341966152191,0.13602881133556366,0.1764705926179886,0.0,0.9089834690093994,0.0,0.0,0.0
1,0.010610264725983143,0.8641509413719177,0.7583841681480408,0.7567567825317383,0.0,0.9750480055809021,0.0,0.0,0.0,0.7178683280944824,0.5470038652420044,0.5833333134651184,0.0,0.6018957495689392,0.0,0.0,0.0,0.046917982399463654,0.9523809552192688,0.518114447593689,0.8684210777282715,0.0,0.6935040950775146,0.0,0.0,0.0,0.2931596040725708,0.41201505064964294,0.6470588445663452,0.0,0.8959810733795166,0.0,0.0,0.0
2,0.009144260548055172,0.927480936050415,0.7778518795967102,0.8478260636329651,0.0,0.9816513657569885,0.0,0.0,0.0,0.7617554664611816,0.6410115361213684,0.8125,0.0,0.6338862776756287,0.0,0.0,0.0,0.14624495804309845,0.8673139214515686,0.31066766381263733,0.8571428656578064,0.0,0.691601037979126,0.0,0.0,0.0,0.4364820718765259,0.2064167559146881,0.8235294222831726,0.0,0.6229314208030701,0.0,0.0,0.0
3,0.008608393371105194,0.9185185432434082,0.7873523235321045,0.8666666746139526,0.0,0.989130437374115,0.0,0.0,0.0,0.777429461479187,0.6228697299957275,0.8125,0.0,0.6469194293022156,0.0,0.0,0.0,0.041127897799015045,0.47555556893348694,0.5979381203651428,0.7272727489471436,0.0,0.9560439586639404,0.0,0.0,0.0,0.3485341966152191,0.16140121221542358,0.7843137383460999,0.0,0.6170212626457214,0.0,0.0,0.0
4,0.008056730031967163,0.9261992573738098,0.8306082487106323,0.8775510191917419,0.0,0.9785714149475098,0.0,0.0,0.0,0.7868338823318481,0.6981858015060425,0.8958333134651184,0.0,0.649289071559906,0.0,0.0,0.0,0.3207564949989319,0.8888888955116272,0.2931946814060211,0.9772727489471436,0.0,0.7049505114555359,0.0,0.0,0.0,0.29967427253723145,0.2630545198917389,0.843137264251709,0.0,0.8416075706481934,0.0,0.0,0.0
5,0.006986732594668865,0.9489051103591919,0.8407079577445984,0.9347826242446899,0.0,0.9929577708244324,0.0,0.0,0.0,0.815047025680542,0.7833974957466125,0.8958333134651184,0.0,0.6682464480400085,0.0,0.0,0.0,0.11680734902620316,0.9066147804260254,0.5817750096321106,0.936170220375061,0.0,0.7102803587913513,0.0,0.0,0.0,0.3794788420200348,0.3208380937576294,0.8627451062202454,0.0,0.8085106611251831,0.0,0.0,0.0
6,0.007149153389036655,0.9298245906829834,0.8392321467399597,0.9347826242446899,0.0,0.9877192974090576,0.0,0.0,0.0,0.8307210206985474,0.7691038846969604,0.8958333134651184,0.0,0.6670616269111633,0.0,0.0,0.0,0.1393166333436966,0.9283018708229065,0.40241092443466187,1.0,0.0,0.6326290965080261,0.0,0.0,0.0,0.4006514549255371,0.37158292531967163,0.7647058963775635,0.0,0.6371158361434937,0.0,0.0,0.0
7,0.007287281099706888,0.9263157844543457,0.8353293538093567,0.9347826242446899,0.0,0.9912739992141724,0.0,0.0,0.0,0.8275862336158752,0.766904890537262,0.8958333134651184,0.0,0.6729857921600342,0.0,0.0,0.0,0.10478798300027847,0.9052631855010986,0.4215157628059387,0.957446813583374,0.0,0.8518518805503845,0.0,0.0,0.0,0.2801302969455719,0.24308396875858307,0.8823529481887817,0.0,0.5981087684631348,0.0,0.0,0.0
8,0.006751578766852617,0.9436619877815247,0.8677536249160767,0.9347826242446899,0.0,0.9842932224273682,0.0,0.0,0.0,0.8401253819465637,0.789994478225708,0.8958333134651184,0.0,0.6682464480400085,0.0,0.0,0.0,0.03741145879030228,0.9144737124443054,0.6848664879798889,0.9512194991111755,0.0,0.8049535751342773,0.0,0.0,0.0,0.4527687430381775,0.1889016181230545,0.7647058963775635,0.0,0.6146572232246399,0.0,0.0,0.0
9,0.0072057428769767284,0.9292929172515869,0.8410123586654663,0.936170220375061,0.0,0.9739583134651184,0.0,0.0,0.0,0.8652037382125854,0.7124794125556946,0.9166666865348816,0.0,0.6646919250488281,0.0,0.0,0.0,0.37545618414878845,0.9468085169792175,0.2648226320743561,1.0,0.0,0.9579349756240845,0.0,0.0,0.0,0.2899022698402405,0.3494843542575836,0.7647058963775635,0.0,0.5921986103057861,0.0,0.0,0.0
