timestamp,smartMeter,computer,microwave,kettle
2023-01-22 00:00:00,300.045,20.15,0.0,0.0
2023-01-22 00:00:01,300.193,20.15,0.0,0.0
2023-01-22 00:00:02,300.226,20.15,0.0,0.0
2023-01-22 00:00:03,300.162,20.15,0.0,0.0
2023-01-22 00:00:04,300.055,20.15,0.0,0.0
2023-01-22 00:00:05,300.067,20.15,0.0,0.0
2023-01-22 00:00:06,299.855,20.15,0.0,0.0
2023-01-22 00:00:07,299.94,20.15,0.0,0.0
2023-01-22 00:00:08,300.212,20.15,0.0,0.0
2023-01-22 00:00:09,299.769,20.15,0.0,0.0
2023-01-22 00:00:10,300.155,20.15,0.0,0.0
2023-01-22 00:00:11,299.917,20.15,0.0,0.0
2023-01-22 00:00:12,299.626,20.15,0.0,0.0
2023-01-22 00:00:13,299.964,20.15,0.0,0.0
2023-01-22 00:00:14,300.36,20.15,0.0,0.0
2023-01-22 00:00:15,300.162,20.15,0.0,0.0
2023-01-22 00:00:16,300.051,20.15,0.0,0.0
2023-01-22 00:00:17,300.067,20.15,0.0,0.0
2023-01-22 00:00:18,299.582,20.15,0.0,0.0
2023-01-22 00:00:19,300.393,20.15,0.0,0.0
2023-01-22 00:00:20,300.286,20.15,0.0,0.0
2023-01-22 00:00:21,299.833,20.15,0.0,0.0
2023-01-22 00:00:22,299.971,20.15,0.0,0.0
2023-01-22 00:00:23,299.955,20.15,0.0,0.0
2023-01-22 00:00:24,299.767,20.15,0.0,0.0
2023-01-22 00:00:25,299.924,20.15,0.0,0.0
2023-01-22 00:00:26,299.855,20.15,0.0,0.0
2023-01-22 00:00:27,299.726,20.15,0.0,0.0
2023-01-22 00:00:28,299.926,20.15,0.0,0.0
2023-01-22 00:00:29,299.924,20.15,0.0,0.0
2023-01-22 00:00:30,299.769,20.15,0.0,0.0
2023-01-22 00:00:31,299.629,20.15,0.0,0.0
2023-01-22 00:00:32,299.84,20.15,0.0,0.0
2023-01-22 00:00:33,299.85,20.15,0.0,0.0
2023-01-22 00:00:34,299.626,20.15,0.0,0.0
2023-01-22 00:00:35,299.812,20.15,0.0,0.0
2023-01-22 00:00:36,299.983,20.15,0.0,0.0
2023-01-22 00:00:37,299.824,20.15,0.0,0.0
2023-01-22 00:00:38,299.626,20.15,0.0,0.0
2023-01-22 00:00:39,299.983,20.15,0.0,0.0
2023-01-22 00:00:40,300.04,20.15,0.0,0.0
2023-01-22 00:00:41,299.888,20.15,0.0,0.0
2023-01-22 00:00:42,299.555,20.15,0.0,0.0
2023-01-22 00:00:43,299.912,20.15,0.0,0.0
2023-01-22 00:00:44,300.317,20.15,0.0,0.0
2023-01-22 00:00:45,299.926,20.15,0.0,0.0
2023-01-22 00:00:46,299.655,20.15,0.0,0.0
2023-01-22 00:00:47,299.805,20.15,0.0,0.0
2023-01-22 00:00:48,299.983,20.15,0.0,0.0
2023-01-22 00:00:49,299.94,20.15,0.0,0.0
2023-01-22 00:00:50,299.783,20.15,0.0,0.0
2023-01-22 00:00:51,299.75,20.15,0.0,0.0
2023-01-22 00:00:52,299.955,20.15,0.0,0.0
2023-01-22 00:00:53,299.898,20.15,0.0,0.0
2023-01-22 00:00:54,299.898,20.15,0.0,0.0
2023-01-22 00:00:55,299.883,20.15,0.0,0.0
2023-01-22 00:00:56,299.94,20.15,0.0,0.0
2023-01-22 00:00:57,299.693,20.15,0.0,0.0
2023-01-22 00:00:58,299.855,20.15,0.0,0.0
2023-01-22 00:00:59,299.955,20.15,0.0,0.0
2023-01-22 00:01:00,299.983,20.15,0.0,0.0
2023-01-22 00:01:01,299.65,20.15,0.0,0.0
2023-01-22 00:01:02,299.869,20.15,0.0,0.0
