epoch,loss,precision_coffee machine,precision_computer,precision_kettle,precision_microwave,precision_vacuum cleaner,recall_coffee machine,recall_computer,recall_kettle,recall_microwave,recall_vacuum cleaner,val_loss,val_precision_coffee machine,val_precision_computer,val_precision_kettle,val_precision_microwave,val_precision_vacuum cleaner,val_recall_coffee machine,val_recall_computer,val_recall_kettle,val_recall_microwave,val_recall_vacuum cleaner
0,0.022375890985131264,0.9405893683433533,0.6213470697402954,0.8885918259620667,0.9246155619621277,0.6909090876579285,0.8556619882583618,0.44638383388519287,0.6947734951972961,0.6036960482597351,0.14048059284687042,0.06291377544403076,0.895814061164856,0.23952239751815796,0.9734219312667847,0.9142584800720215,1.0,0.9008719325065613,0.06637785583734512,0.6743383407592773,0.5036608576774597,0.02439708448946476
1,0.018767790868878365,0.9734078049659729,0.6613163948059082,0.9521769881248474,0.9620972275733948,0.9462571740150452,0.93422931432724,0.5183258652687073,0.9296167492866516,0.6528429388999939,0.9112753868103027,0.07244753837585449,0.9342583417892456,0.20261527597904205,1.0,0.8873103857040405,0.0,0.8084619641304016,0.059095561504364014,0.5212888121604919,0.4854503870010376,0.0
2,0.018067652359604836,0.9760897159576416,0.6812323927879333,0.9648745656013489,0.9697992205619812,0.9292364716529846,0.9397340416908264,0.5433776378631592,0.9379791021347046,0.6588453650474548,0.9223659634590149,0.07192771881818771,0.9556612968444824,0.18983864784240723,1.0,0.8876712322235107,0.0,0.9042310118675232,0.06613865494728088,0.5632911324501038,0.4987797141075134,0.0
3,0.01745567098259926,0.9751502275466919,0.6910622715950012,0.9664045572280884,0.9713769555091858,0.9451795816421509,0.9398055672645569,0.5538340210914612,0.9421603083610535,0.6654298305511475,0.9242144227027893,0.06434448808431625,0.8094679713249207,0.15031395852565765,1.0,0.884467601776123,0.6000000238418579,0.9373213052749634,0.051853131502866745,0.2537399232387543,0.5099312663078308,0.008412787690758705
4,0.01690489985048771,0.9743892550468445,0.6973435282707214,0.9734004139900208,0.9691669344902039,0.9396226406097412,0.9438089728355408,0.5772110819816589,0.9435539841651917,0.6712139248847961,0.9205175638198853,0.08196305483579636,0.9290703535079956,0.18489843606948853,0.9147627353668213,0.8644853830337524,0.0,0.9220983386039734,0.0564909428358078,0.5989643335342407,0.5178537964820862,0.0
5,0.016358759254217148,0.9732852578163147,0.7048606872558594,0.9661383032798767,0.9668722152709961,0.9354838728904724,0.9454532265663147,0.60612952709198,0.9344947934150696,0.6731419563293457,0.9112753868103027,0.09945154935121536,0.9283819794654846,0.15175046026706696,0.9596661925315857,0.8494201302528381,0.0,0.925528883934021,0.10621786117553711,0.3970080614089966,0.5197687149047852,0.0
6,0.014173676259815693,0.972464919090271,0.7141379714012146,0.9669302701950073,0.960199773311615,0.942307710647583,0.9468115568161011,0.7333215475082397,0.9372822046279907,0.6784168481826782,0.905730128288269,0.18600212037563324,0.9229021668434143,0.2319619357585907,1.0,0.8760740756988525,0.0,0.92910236120224,0.20019666850566864,0.33947065472602844,0.5168024897575378,0.0
7,0.011734392493963242,0.9709460735321045,0.7343713641166687,0.971780002117157,0.9530242085456848,0.9413988590240479,0.9413068294525146,0.8540736436843872,0.9358885288238525,0.6878387928009033,0.9205175638198853,0.10645034164190292,0.9163229465484619,0.2884092926979065,1.0,0.9008669853210449,0.875,0.9368210434913635,0.3837689757347107,0.6990793943405151,0.5032854080200195,0.005888951011002064
8,0.011080242693424225,0.973641574382782,0.7414482831954956,0.9713876843452454,0.944252073764801,0.9488636255264282,0.945381760597229,0.8729441165924072,0.9463414549827576,0.7042816877365112,0.926062822341919,0.12497327476739883,0.9276344180107117,0.2662745416164398,0.9979633688926697,0.8246219754219055,1.0,0.9198113083839417,0.5330161452293396,0.2819332480430603,0.5201066136360168,0.0016825575148686767
9,0.010208298452198505,0.9746686220169067,0.7574771642684937,0.9685489535331726,0.9446640610694885,0.932584285736084,0.9462396502494812,0.8875666856765747,0.9442508816719055,0.7216340899467468,0.9205175638198853,0.11345117539167404,0.9644197821617126,0.3446410000324249,0.9724576473236084,0.4484897553920746,1.0,0.9182389974594116,0.4680735170841217,0.5281933546066284,0.5184921026229858,0.0014021312817931175
