timestamp,smartMeter,computer,kettle,coffee machine,microwave
2022-12-12 00:00:00,306.314,39.2,0.0,0.0,0.0
2022-12-12 00:00:01,310.804,43.414,0.0,0.0,0.0
2022-12-12 00:00:02,295.086,27.7,0.0,0.0,0.0
2022-12-12 00:00:03,296.429,29.157,0.0,0.0,0.0
2022-12-12 00:00:04,297.329,30.2,0.0,0.0,0.0
2022-12-12 00:00:05,296.631,29.571,0.0,0.0,0.0
2022-12-12 00:00:06,295.671,28.629,0.0,0.0,0.0
2022-12-12 00:00:07,295.045,28.017,0.0,0.0,0.0
2022-12-12 00:00:08,305.767,38.667,0.0,0.0,0.0
2022-12-12 00:00:09,307.7,40.514,0.0,0.0,0.0
2022-12-12 00:00:10,300.612,33.571,0.0,0.0,0.0
2022-12-12 00:00:11,295.925,28.725,0.0,0.0,0.0
2022-12-12 00:00:12,295.917,28.717,0.0,0.0,0.0
2022-12-12 00:00:13,295.757,28.857,0.0,0.0,0.0
2022-12-12 00:00:14,297.183,29.75,0.0,0.0,0.0
2022-12-12 00:00:15,295.543,28.267,0.0,0.0,0.0
2022-12-12 00:00:16,294.733,27.714,0.0,0.0,0.0
2022-12-12 00:00:17,296.583,29.5,0.0,0.0,0.0
2022-12-12 00:00:18,296.386,29.2,0.0,0.0,0.0
2022-12-12 00:00:19,295.217,28.083,0.0,0.0,0.0
2022-12-12 00:00:20,295.261,28.275,0.0,0.0,0.0
2022-12-12 00:00:21,294.56,27.86,0.0,0.0,0.0
2022-12-12 00:00:22,298.375,31.15,0.0,0.0,0.0
2022-12-12 00:00:23,299.475,32.567,0.0,0.0,0.0
2022-12-12 00:00:24,295.171,28.0,0.0,0.0,0.0
2022-12-12 00:00:25,296.555,29.371,0.0,0.0,0.0
2022-12-12 00:00:26,294.776,27.943,0.0,0.0,0.0
2022-12-12 00:00:27,296.287,29.267,0.0,0.0,0.0
2022-12-12 00:00:28,296.493,29.35,0.0,0.0,0.0
2022-12-12 00:00:29,296.495,29.529,0.0,0.0,0.0
2022-12-12 00:00:30,301.448,34.533,0.0,0.0,0.0
2022-12-12 00:00:31,309.303,42.083,0.0,0.0,0.0
2022-12-12 00:00:32,296.0,29.0,0.0,0.0,0.0
2022-12-12 00:00:33,295.124,28.257,0.0,0.0,0.0
2022-12-12 00:00:34,294.543,27.3,0.0,0.0,0.0
2022-12-12 00:00:35,294.467,27.3,0.0,0.0,0.0
2022-12-12 00:00:36,295.686,28.8,0.0,0.0,0.0
2022-12-12 00:00:37,294.567,27.467,0.0,0.0,0.0
2022-12-12 00:00:38,301.067,33.9,0.0,0.0,0.0
2022-12-12 00:00:39,309.5,42.6,0.0,0.0,0.0
2022-12-12 00:00:40,297.014,29.9,0.0,0.0,0.0
2022-12-12 00:00:41,297.89,30.829,0.0,0.0,0.0
2022-12-12 00:00:42,296.286,29.3,0.0,0.0,0.0
2022-12-12 00:00:43,295.264,28.386,0.0,0.0,0.0
2022-12-12 00:00:44,296.3,28.733,0.0,0.0,0.0
2022-12-12 00:00:45,296.157,28.914,0.0,0.0,0.0
2022-12-12 00:00:46,297.023,30.04,0.0,0.0,0.0
2022-12-12 00:00:47,296.16,29.086,0.0,0.0,0.0
2022-12-12 00:00:48,296.5,29.383,0.0,0.0,0.0
2022-12-12 00:00:49,295.457,28.486,0.0,0.0,0.0
2022-12-12 00:00:50,295.4,28.4,0.0,0.0,0.0
2022-12-12 00:00:51,303.817,36.7,0.0,0.0,0.0
2022-12-12 00:00:52,310.379,43.443,0.0,0.0,0.0
2022-12-12 00:00:53,305.924,38.957,0.0,0.0,0.0
2022-12-12 00:00:54,301.757,34.5,0.0,0.0,0.0
2022-12-12 00:00:55,295.05,28.143,0.0,0.0,0.0
2022-12-12 00:00:56,294.614,27.8,0.0,0.0,0.0
2022-12-12 00:00:57,296.486,29.386,0.0,0.0,0.0
2022-12-12 00:00:58,298.064,31.043,0.0,0.0,0.0
2022-12-12 00:00:59,300.428,33.54,0.0,0.0,0.0
2022-12-12 00:01:00,300.722,33.54,0.0,0.0,0.0
2022-12-12 00:01:01,318.143,50.9,0.0,0.0,0.0
2022-12-12 00:01:02,306.686,39.8,0.0,0.0,0.0
2022-12-12 00:01:03,296.89,29.671,0.0,0.0,0.0
2022-12-12 00:01:04,296.748,29.583,0.0,0.0,0.0
2022-12-12 00:01:05,297.881,30.943,0.0,0.0,0.0
2022-12-12 00:01:06,296.171,29.2,0.0,0.0,0.0
2022-12-12 00:01:07,295.774,28.757,0.0,0.0,0.0
2022-12-12 00:01:08,305.74,38.717,0.0,0.0,0.0
2022-12-12 00:01:09,310.514,43.086,0.0,0.0,0.0
2022-12-12 00:01:10,297.143,29.457,0.0,0.0,0.0
2022-12-12 00:01:11,296.452,29.067,0.0,0.0,0.0
2022-12-12 00:01:12,296.033,28.65,0.0,0.0,0.0
2022-12-12 00:01:13,297.493,29.85,0.0,0.0,0.0
2022-12-12 00:01:14,296.148,28.514,0.0,0.0,0.0
2022-12-12 00:01:15,295.829,28.329,0.0,0.0,0.0
2022-12-12 00:01:16,295.817,28.25,0.0,0.0,0.0
2022-12-12 00:01:17,296.757,28.929,0.0,0.0,0.0
2022-12-12 00:01:18,295.75,28.214,0.0,0.0,0.0
2022-12-12 00:01:19,295.483,27.933,0.0,0.0,0.0
2022-12-12 00:01:20,296.107,28.85,0.0,0.0,0.0
2022-12-12 00:01:21,295.268,28.4,0.0,0.0,0.0
2022-12-12 00:01:22,298.602,31.671,0.0,0.0,0.0
2022-12-12 00:01:23,296.512,29.414,0.0,0.0,0.0
2022-12-12 00:01:24,297.512,30.55,0.0,0.0,0.0
2022-12-12 00:01:25,304.647,37.688,0.0,0.0,0.0
2022-12-12 00:01:26,298.743,31.6,0.0,0.0,0.0
2022-12-12 00:01:27,298.843,31.6,0.0,0.0,0.0
2022-12-12 00:01:28,305.357,37.9,0.0,0.0,0.0
2022-12-12 00:01:29,315.033,47.443,0.0,0.0,0.0
2022-12-12 00:01:30,312.114,44.5,0.0,0.0,0.0
2022-12-12 00:01:31,311.84,44.383,0.0,0.0,0.0
2022-12-12 00:01:32,301.648,34.133,0.0,0.0,0.0
2022-12-12 00:01:33,296.143,29.086,0.0,0.0,0.0
2022-12-12 00:01:34,295.107,27.95,0.0,0.0,0.0
2022-12-12 00:01:35,295.943,28.3,0.0,0.0,0.0
2022-12-12 00:01:36,297.243,29.857,0.0,0.0,0.0
2022-12-12 00:01:37,302.39,35.471,0.0,0.0,0.0
2022-12-12 00:01:38,303.702,36.5,0.0,0.0,0.0
2022-12-12 00:01:39,306.429,39.329,0.0,0.0,0.0
2022-12-12 00:01:40,294.983,28.033,0.0,0.0,0.0
2022-12-12 00:01:41,294.486,27.586,0.0,0.0,0.0
2022-12-12 00:01:42,295.024,27.867,0.0,0.0,0.0
2022-12-12 00:01:43,297.267,30.286,0.0,0.0,0.0
2022-12-12 00:01:44,303.357,36.114,0.0,0.0,0.0
2022-12-12 00:01:45,295.486,27.986,0.0,0.0,0.0
2022-12-12 00:01:46,294.75,27.6,0.0,0.0,0.0
2022-12-12 00:01:47,295.048,28.014,0.0,0.0,0.0
2022-12-12 00:01:48,295.329,28.167,0.0,0.0,0.0
2022-12-12 00:01:49,294.714,27.614,0.0,0.0,0.0
2022-12-12 00:01:50,294.405,27.433,0.0,0.0,0.0
2022-12-12 00:01:51,303.907,36.757,0.0,0.0,0.0
2022-12-12 00:01:52,294.455,27.383,0.0,0.0,0.0
2022-12-12 00:01:53,294.405,27.371,0.0,0.0,0.0
2022-12-12 00:01:54,294.75,27.65,0.0,0.0,0.0
2022-12-12 00:01:55,295.014,27.971,0.0,0.0,0.0
2022-12-12 00:01:56,294.721,27.65,0.0,0.0,0.0
2022-12-12 00:01:57,294.483,27.3,0.0,0.0,0.0
2022-12-12 00:01:58,295.033,28.1,0.0,0.0,0.0
2022-12-12 00:01:59,294.3,27.214,0.0,0.0,0.0
2022-12-12 00:02:00,304.16,36.917,0.0,0.0,0.0
2022-12-12 00:02:01,315.664,48.714,0.0,0.0,0.0
2022-12-12 00:02:02,300.061,33.05,0.0,0.0,0.0
2022-12-12 00:02:03,296.814,29.614,0.0,0.0,0.0
