epoch,accuracy,loss,precision,recall
0,0.9995496869087219,0.0029708861839026213,0.7326530814170837,0.6243478059768677
1,0.9998104572296143,0.0011293998686596751,0.8954128623008728,0.8486956357955933
2,0.9998766183853149,0.0007797240978106856,0.9414991140365601,0.895652174949646
3,0.9998829960823059,0.0006632170407101512,0.9391770958900452,0.9130434989929199
4,0.9999045729637146,0.0005742738721892238,0.9604316353797913,0.9286956787109375
5,0.9999223947525024,0.00041552603943273425,0.9644760489463806,0.9443477988243103
6,0.9999351501464844,0.0003698579384945333,0.9749552607536316,0.947826087474823
7,0.9999198913574219,0.0003523271589074284,0.9625668525695801,0.939130425453186
8,0.9999427795410156,0.0003110956749878824,0.9735449552536011,0.9599999785423279
9,0.9999313354492188,0.0003900837618857622,0.9733096361160278,0.9513043761253357
