epoch,accuracy,loss,precision,recall
0,0.9972015023231506,0.01058887131512165,0.8652938604354858,0.7210009098052979
1,0.9990459680557251,0.00312614138238132,0.9453210830688477,0.9208221435546875
2,0.9995318651199341,0.0015816857339814305,0.9736033082008362,0.9624664783477783
3,0.9995560646057129,0.0015663972590118647,0.9736794829368591,0.965326189994812
4,0.9997175931930542,0.0010144644184038043,0.9838333129882812,0.9789097309112549
5,0.9997621178627014,0.0008998748962767422,0.9863628149032593,0.9824843406677246
6,0.9998002648353577,0.0008929631439968944,0.9887036085128784,0.9855228066444397
7,0.9998232126235962,0.0007376524154096842,0.9906642436981201,0.9862377047538757
8,0.9998155832290649,0.0008160607540048659,0.9904744625091553,0.9849866032600403
9,0.9998587965965271,0.0006402262952178717,0.9933573007583618,0.988918662071228
