epoch,accuracy,loss,precision,recall
0,0.9942249655723572,0.031723663210868835,0.9657860398292542,0.6086244583129883
1,0.9949207901954651,0.029555875808000565,0.9869244694709778,0.6454694271087646
2,0.9949156641960144,0.029903778806328773,0.9874581694602966,0.6446506381034851
3,0.9949653148651123,0.02959691919386387,0.986312747001648,0.6490174531936646
4,0.9950352311134338,0.028051676228642464,0.9877562522888184,0.6532023549079895
5,0.9942949414253235,0.027174079790711403,0.9489443898200989,0.6256368160247803
6,0.9945557117462158,0.026845617219805717,0.9504830837249756,0.6443777084350586
7,0.9946523904800415,0.026843897998332977,0.9532647728919983,0.6494723558425903
8,0.9947413802146912,0.024597054347395897,0.9514346122741699,0.6576601266860962
9,0.994949996471405,0.022546114400029182,0.9563466310501099,0.6696688532829285
