epoch,loss,precision_coffee machine,precision_computer,precision_kettle,precision_microwave,precision_vacuum cleaner,recall_coffee machine,recall_computer,recall_kettle,recall_microwave,recall_vacuum cleaner
0,0.021120168268680573,0.9103577136993408,0.6491774320602417,0.8362720608711243,0.892463207244873,0.0,0.7823056578636169,0.5465187430381775,0.5773913264274597,0.6183587908744812,0.0
1,0.017301855608820915,0.9466100335121155,0.6872637271881104,0.9696969985961914,0.9225146174430847,0.0,0.9158176779747009,0.612400472164154,0.8904348015785217,0.6888646483421326,0.0
2,0.016424473375082016,0.9617881774902344,0.704078197479248,0.9548736214637756,0.9231956601142883,0.5,0.9267202615737915,0.637446403503418,0.9200000166893005,0.7075145840644836,0.013888888992369175
3,0.01591344177722931,0.9673672318458557,0.7119569182395935,0.9744991064071655,0.9288737177848816,0.7454545497894287,0.9378015995025635,0.6613693833351135,0.9304347634315491,0.7187954783439636,0.18981482088565826
4,0.015461845323443413,0.967564582824707,0.716361403465271,0.9731663465499878,0.927850604057312,0.8584905862808228,0.9436997175216675,0.6694344282150269,0.9460869431495667,0.7277110815048218,0.42129629850387573
5,0.014938573352992535,0.9700018167495728,0.7261360883712769,0.9731183052062988,0.9368420839309692,0.8409090638160706,0.9478105306625366,0.6759001016616821,0.9443477988243103,0.7368085980415344,0.5138888955116272
6,0.014699581079185009,0.9702771902084351,0.7307803630828857,0.9767025113105774,0.9336623549461365,0.8444444537162781,0.9510276913642883,0.6870618462562561,0.947826087474823,0.7400836944580078,0.5277777910232544
7,0.014269768260419369,0.9719694256782532,0.739471971988678,0.9658886790275574,0.9394251704216003,0.9371069073677063,0.9544236063957214,0.701524555683136,0.9356521964073181,0.7463610172271729,0.6898148059844971
8,0.014034259133040905,0.9744008779525757,0.7447993159294128,0.980322003364563,0.9401348233222961,0.8726114630699158,0.9592493176460266,0.705437958240509,0.9530434608459473,0.7486353516578674,0.6342592835426331
9,0.013744083233177662,0.9765625,0.7455085515975952,0.9698046445846558,0.9458442330360413,0.8674699068069458,0.9606791734695435,0.7173483967781067,0.9495652318000793,0.7547307014465332,0.6666666865348816
