name,start_time,end_time
"kettle",2023-02-13 10:13:18,2023-02-13 10:14:15
"computer",2023-02-13 11:08:02,2023-02-13 11:46:07
"coffee machine",2023-02-13 14:37:14,2023-02-13 14:42:13
"microwave",2023-02-13 21:06:10,2023-02-13 21:06:43
"coffee machine",2023-02-13 21:56:28,2023-02-13 22:00:02
"computer",2023-02-13 22:10:00,2023-02-13 22:24:30
