name,start_time,end_time
"kettle",2023-03-02 09:39:14,2023-03-02 09:39:44
"computer",2023-03-02 11:22:09,2023-03-02 11:52:45
"coffee machine",2023-03-02 15:13:43,2023-03-02 15:28:37
"microwave",2023-03-02 21:10:08,2023-03-02 21:10:27
"coffee machine",2023-03-02 22:02:59,2023-03-02 22:10:17
"computer",2023-03-02 22:10:00,2023-03-02 22:42:12
