timestamp,smartMeter,computer,vacuum cleaner,microwave,kettle
2023-03-11 00:00:00,27.433,24.933,0.0,0.0,0.0
2023-03-11 00:00:01,27.433,24.933,0.0,0.0,0.0
2023-03-11 00:00:02,27.405,24.933,0.0,0.0,0.0
2023-03-11 00:00:03,27.383,24.933,0.0,0.0,0.0
2023-03-11 00:00:04,27.476,24.933,0.0,0.0,0.0
2023-03-11 00:00:05,27.39,24.933,0.0,0.0,0.0
2023-03-11 00:00:06,27.358,24.933,0.0,0.0,0.0
2023-03-11 00:00:07,27.367,24.933,0.0,0.0,0.0
2023-03-11 00:00:08,27.59,24.933,0.0,0.0,0.0
2023-03-11 00:00:09,27.65,24.933,0.0,0.0,0.0
2023-03-11 00:00:10,27.562,24.933,0.0,0.0,0.0
2023-03-11 00:00:11,27.383,24.933,0.0,0.0,0.0
2023-03-11 00:00:12,27.362,24.933,0.0,0.0,0.0
2023-03-11 00:00:13,27.433,24.933,0.0,0.0,0.0
2023-03-11 00:00:14,27.362,24.933,0.0,0.0,0.0
2023-03-11 00:00:15,27.374,24.933,0.0,0.0,0.0
2023-03-11 00:00:16,27.405,24.933,0.0,0.0,0.0
2023-03-11 00:00:17,27.433,24.933,0.0,0.0,0.0
2023-03-11 00:00:18,27.495,24.933,0.0,0.0,0.0
2023-03-11 00:00:19,27.614,24.933,0.0,0.0,0.0
2023-03-11 00:00:20,27.376,24.933,0.0,0.0,0.0
2023-03-11 00:00:21,27.324,24.933,0.0,0.0,0.0
2023-03-11 00:00:22,27.283,24.933,0.0,0.0,0.0
2023-03-11 00:00:23,27.317,24.933,0.0,0.0,0.0
2023-03-11 00:00:24,27.39,24.933,0.0,0.0,0.0
2023-03-11 00:00:25,27.433,24.933,0.0,0.0,0.0
2023-03-11 00:00:26,27.276,24.933,0.0,0.0,0.0
2023-03-11 00:00:27,27.419,24.933,0.0,0.0,0.0
2023-03-11 00:00:28,27.433,24.933,0.0,0.0,0.0
2023-03-11 00:00:29,27.433,24.933,0.0,0.0,0.0
2023-03-11 00:00:30,27.419,24.933,0.0,0.0,0.0
2023-03-11 00:00:31,27.267,24.933,0.0,0.0,0.0
2023-03-11 00:00:32,27.267,24.933,0.0,0.0,0.0
2023-03-11 00:00:33,27.369,24.933,0.0,0.0,0.0
2023-03-11 00:00:34,27.376,24.933,0.0,0.0,0.0
2023-03-11 00:00:35,27.433,24.933,0.0,0.0,0.0
2023-03-11 00:00:36,27.433,24.933,0.0,0.0,0.0
2023-03-11 00:00:37,27.433,24.933,0.0,0.0,0.0
2023-03-11 00:00:38,27.4,24.933,0.0,0.0,0.0
2023-03-11 00:00:39,27.39,24.933,0.0,0.0,0.0
2023-03-11 00:00:40,27.314,24.933,0.0,0.0,0.0
2023-03-11 00:00:41,27.312,24.933,0.0,0.0,0.0
2023-03-11 00:00:42,27.352,24.933,0.0,0.0,0.0
2023-03-11 00:00:43,27.39,24.933,0.0,0.0,0.0
2023-03-11 00:00:44,27.417,24.933,0.0,0.0,0.0
2023-03-11 00:00:45,27.433,24.933,0.0,0.0,0.0
2023-03-11 00:00:46,27.333,24.933,0.0,0.0,0.0
2023-03-11 00:00:47,27.233,24.933,0.0,0.0,0.0
2023-03-11 00:00:48,27.179,24.933,0.0,0.0,0.0
2023-03-11 00:00:49,27.576,24.933,0.0,0.0,0.0
2023-03-11 00:00:50,27.451,24.933,0.0,0.0,0.0
2023-03-11 00:00:51,27.433,24.933,0.0,0.0,0.0
2023-03-11 00:00:52,27.333,24.933,0.0,0.0,0.0
2023-03-11 00:00:53,27.405,24.933,0.0,0.0,0.0
2023-03-11 00:00:54,27.419,24.933,0.0,0.0,0.0
2023-03-11 00:00:55,27.333,24.933,0.0,0.0,0.0
2023-03-11 00:00:56,27.443,24.933,0.0,0.0,0.0
2023-03-11 00:00:57,27.459,24.933,0.0,0.0,0.0
