epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.9982350468635559,0.006419226061552763,0.9116039276123047,0.8345724940299988,0.9969708323478699,0.008969899266958237,0.7341113090515137,0.9171669483184814
1,0.9990643858909607,0.00337237142957747,0.9695262908935547,0.8984129428863525,0.999199390411377,0.0025412740651518106,0.9692550301551819,0.9215266108512878
2,0.9992729425430298,0.0026878537610173225,0.9740152359008789,0.9245067238807678,0.9990261793136597,0.0037112687714397907,0.9652527570724487,0.8993710875511169
3,0.9993844032287598,0.002885120688006282,0.9773269891738892,0.9368029832839966,0.9989413619041443,0.0039915828965604305,0.9122239947319031,0.9477558732032776
4,0.9993950724601746,0.002285837195813656,0.9757418632507324,0.9403059482574463,0.9990256428718567,0.0038083200342953205,0.9268995523452759,0.9424671530723572
5,0.9994322061538696,0.002122162841260433,0.9783430695533752,0.943022608757019,0.9977818131446838,0.00565908569842577,0.921711266040802,0.7606489658355713
6,0.9964085221290588,0.021117791533470154,0.9808863997459412,0.5062910914421082,0.9927211999893188,0.043566521257162094,0.0,0.0
7,0.9928832650184631,0.04238380491733551,0.0,0.0,0.9927211999893188,0.043175648897886276,0.0,0.0
8,0.9928832650184631,0.04234306514263153,0.0,0.0,0.9927211999893188,0.0429871641099453,0.0,0.0
9,0.9928832650184631,0.042320217937231064,0.0,0.0,0.9927211999893188,0.043003786355257034,0.0,0.0
10,0.9928832650184631,0.04232355207204819,0.0,0.0,0.9927211999893188,0.04305044189095497,0.0,0.0
11,0.9928832650184631,0.04230232536792755,0.0,0.0,0.9927211999893188,0.043016932904720306,0.0,0.0
12,0.9928832650184631,0.042299430817365646,0.0,0.0,0.9927211999893188,0.0430702343583107,0.0,0.0
13,0.9928832650184631,0.042283568531274796,0.0,0.0,0.9927211999893188,0.04301169142127037,0.0,0.0
14,0.9928832650184631,0.0422929972410202,0.0,0.0,0.9927211999893188,0.043043676763772964,0.0,0.0
15,0.9928832650184631,0.042277805507183075,0.0,0.0,0.9927211999893188,0.04298337548971176,0.0,0.0
16,0.9928832650184631,0.04227757453918457,0.0,0.0,0.9927211999893188,0.04301219806075096,0.0,0.0
17,0.9928832650184631,0.04227288439869881,0.0,0.0,0.9927211999893188,0.04302060604095459,0.0,0.0
18,0.9928832650184631,0.04227495193481445,0.0,0.0,0.9927211999893188,0.04322485998272896,0.0,0.0
19,0.9928832650184631,0.04226921871304512,0.0,0.0,0.9927211999893188,0.043092481791973114,0.0,0.0
20,0.9928832650184631,0.04227706044912338,0.0,0.0,0.9927211999893188,0.042990170419216156,0.0,0.0
21,0.9928832650184631,0.04226378723978996,0.0,0.0,0.9927211999893188,0.043398529291152954,0.0,0.0
22,0.9928832650184631,0.04227178171277046,0.0,0.0,0.9927211999893188,0.04306669533252716,0.0,0.0
23,0.9928832650184631,0.0422685481607914,0.0,0.0,0.9927211999893188,0.043001770973205566,0.0,0.0
24,0.9928832650184631,0.042268604040145874,0.0,0.0,0.9927211999893188,0.04298539087176323,0.0,0.0
25,0.9928832650184631,0.042261939495801926,0.0,0.0,0.9927211999893188,0.043176501989364624,0.0,0.0
26,0.9928832650184631,0.04225942865014076,0.0,0.0,0.9927211999893188,0.043087318539619446,0.0,0.0
27,0.9928832650184631,0.04225684702396393,0.0,0.0,0.9927211999893188,0.04299908131361008,0.0,0.0
28,0.9928832650184631,0.042262963950634,0.0,0.0,0.9927211999893188,0.043018586933612823,0.0,0.0
29,0.9928832650184631,0.04225881025195122,0.0,0.0,0.9927211999893188,0.04302394762635231,0.0,0.0
30,0.9928832650184631,0.04225848242640495,0.0,0.0,0.9927211999893188,0.043129269033670425,0.0,0.0
31,0.9928832650184631,0.04225926101207733,0.0,0.0,0.9927211999893188,0.04310663416981697,0.0,0.0
32,0.9928832650184631,0.04226049408316612,0.0,0.0,0.9927211999893188,0.043067723512649536,0.0,0.0
33,0.9928832650184631,0.04225103184580803,0.0,0.0,0.9927211999893188,0.04310959577560425,0.0,0.0
34,0.9928832650184631,0.04225260764360428,0.0,0.0,0.9927211999893188,0.043033991008996964,0.0,0.0
35,0.9928832650184631,0.04224791005253792,0.0,0.0,0.9927211999893188,0.0432065986096859,0.0,0.0
36,0.9928832650184631,0.042247772216796875,0.0,0.0,0.9927211999893188,0.04329593479633331,0.0,0.0
37,0.9928832650184631,0.04224681109189987,0.0,0.0,0.9927211999893188,0.04301958903670311,0.0,0.0
38,0.9928832650184631,0.04224994033575058,0.0,0.0,0.9927211999893188,0.043007150292396545,0.0,0.0
39,0.9928832650184631,0.042251233011484146,0.0,0.0,0.9927211999893188,0.04311735928058624,0.0,0.0
40,0.9928832650184631,0.04224950447678566,0.0,0.0,0.9927211999893188,0.04308426007628441,0.0,0.0
41,0.9928832650184631,0.042247943580150604,0.0,0.0,0.9927211999893188,0.0430571623146534,0.0,0.0
42,0.9928832650184631,0.042245879769325256,0.0,0.0,0.9927211999893188,0.043027106672525406,0.0,0.0
43,0.9928832650184631,0.04224323108792305,0.0,0.0,0.9927211999893188,0.0430123433470726,0.0,0.0
44,0.9928832650184631,0.04224223271012306,0.0,0.0,0.9927211999893188,0.043079376220703125,0.0,0.0
45,0.9928832650184631,0.04224308207631111,0.0,0.0,0.9927211999893188,0.043123990297317505,0.0,0.0
46,0.9928832650184631,0.04224356263875961,0.0,0.0,0.9927211999893188,0.04303133487701416,0.0,0.0
47,0.9928832650184631,0.04224206134676933,0.0,0.0,0.9927211999893188,0.04306003078818321,0.0,0.0
